committee,seqId,daon,decentruth,seenfeed,deepthought
2.4789587s,1.0,3.193455681s,9.919860667s,5.8791087s,23.776042222s
2.4283739s,2.0,2.62714489s,9.340266939s,6.3884603s,26.189531938s
3.0052352s,3.0,2.349637039s,10.410619769s,7.0278057s,27.156642379s
2.9744413s,4.0,2.751563432s,8.95857707s,5.9142585s,24.517692943s
3.1954026s,5.0,2.218568975s,9.438398744s,6.4703056s,25.63514637s
2.4498258s,6.0,2.702126603s,9.258899644s,5.8258142s,25.621559126s
2.8450115s,7.0,2.686648989s,8.996122905s,5.5594696s,24.16973244s
2.814051s,8.0,2.668917888s,9.821831248s,6.0341477s,24.797426635s
2.8017681s,9.0,2.55038741s,8.303894466s,6.306863s,23.570083423s
2.8775712s,10.0,2.534042659s,8.690032381s,6.3850693s,25.989872061s
3.0906409s,11.0,2.912674327s,9.865716155s,6.7141545s,24.031349875s
2.7921457s,12.0,2.738087441s,8.69708766s,6.8960784s,25.826101886s
2.6860083s,13.0,2.697113858s,9.195077785s,6.6452297s,23.960662863s
2.7157631s,14.0,2.516220754s,9.550614544s,7.0578053s,25.910610855s
2.5864074s,15.0,2.422164368s,8.545515444s,5.6116832s,24.662625386s
2.8684045s,16.0,2.788614882s,9.26659711s,6.8840032s,24.331281375s
2.5864074s,17.0,2.292934045s,9.386816064s,6.8048034s,24.568958639s
2.4363165s,18.0,2.284059751s,9.455806079s,6.7321366s,24.935403359s
2.9840271s,19.0,2.546708613s,8.818727474s,7.1999674s,26.571821512s
2.4270947s,20.0,2.958729181s,8.782481661s,6.5212287s,25.278040658s
2.5464713s,21.0,2.516343753s,9.236845331s,6.6158302s,23.668003326s
2.5544973s,22.0,2.551384751s,9.049078522s,5.7128948s,26.568856148s
2.9090252s,23.0,2.64790493s,8.360502434s,6.063113s,25.536691462s
2.6009506s,24.0,2.620506734s,9.329463909s,6.4751971s,25.421005587s
2.8238945s,25.0,2.304250706s,8.244356747s,6.6840048s,26.468183425s
2.3319676s,26.0,2.741984525s,10.053798601s,5.9338294s,25.411404993s
2.6730866s,27.0,2.771524719s,8.786994881s,6.2578979s,23.691616139s
2.3942949s,28.0,3.201343361s,9.635131219s,6.854582s,26.297421418s
2.9411392s,29.0,2.241242194s,8.668267377s,6.0954891s,25.196699809s
2.7586214s,30.0,2.521779789s,7.865263621s,6.3662838s,24.15738815s
2.6400953s,31.0,2.555728338s,9.021415337s,5.7097288s,23.623645705s
2.4808671s,32.0,2.486048553s,8.204138501s,6.3542271s,25.416104952s
3.0478941s,33.0,2.635685891s,9.800774896s,5.4295113s,25.893159654s
2.53335s,34.0,2.680690299s,9.412983638s,6.6213411s,26.708143614s
2.6838517s,35.0,2.356506314s,9.058603536s,6.6068316s,24.704642512s
2.9318735s,36.0,2.552314747s,8.274710768s,6.1338077s,25.203315019s
3.0370938s,37.0,2.411249782s,8.670811359s,6.7234942s,22.819045412s
2.5544973s,38.0,2.72105956s,9.215185652s,6.3818452s,23.584912044s
2.9198003s,39.0,2.599778038s,8.392779938s,6.5760885s,24.800367234s
2.4158755s,40.0,2.561298289s,9.20843119s,6.9221906s,26.085899642s
2.8199731s,41.0,2.687992367s,8.78376314s,6.6813509s,27.542054729s
2.8441128s,42.0,2.540430018s,9.558701788s,6.3460488s,24.178833315s
2.4989008s,43.0,2.843743151s,8.756320484s,6.2935586s,26.544650379s
2.8426528s,44.0,2.638940615s,10.034100676s,6.3713246s,25.453048721s
2.9139288s,45.0,2.47362041s,8.98555108s,6.7695404s,25.137209586s
3.0717522s,46.0,2.502929432s,9.158108651s,5.9544893s,24.961756787s
2.6208931s,47.0,2.643288207s,9.252414146s,6.2915473s,26.116782355s
2.3815581s,48.0,2.844929212s,9.774217233s,5.9734431s,24.673869412s
2.8725353s,49.0,2.853719135s,9.817032558s,6.9349378s,24.992436556s
2.6070481s,50.0,2.828218928s,9.182226131s,6.127821s,26.552365973s
2.8693848s,51.0,2.361719858s,9.095746115s,6.0892105s,27.829510846s
2.9129343s,52.0,2.567790842s,8.893699302s,6.8102775s,23.280542321s
