committee,seqId,daon,decentruth,seenfeed,deepthought
2.388857642s,1,2.925940096s,8.888407857s,5.551441106s,652.8620206597698s
2.570088825s,2,2.425291241s,10.238959769s,6.238272703s,677.1766674012297s
2.866553433s,3,2.79709162s,9.095718733s,6.678034752s,564.4331457040967s
2.785670988s,4,2.800370765s,8.450789404s,5.689258075s,651.8844623575794s
2.645514732s,5,2.573081203s,9.478789141s,5.763865239s,580.054855968339s
2.715510771s,6,2.679205699s,8.149589982s,5.785942326s,578.8868101740966s
2.660524176s,7,2.461325596s,7.549132962s,5.169837934s,577.1554918958285s
2.412573897s,8,2.696555641s,9.170238375s,6.717041752s,592.5694080971238s
2.515948763s,9,2.621198509s,8.556654092s,6.791253632s,650.8856855045381s
3.065318515s,10,2.770830358s,8.899450909s,6.187450831s,571.6042980505069s
2.408136704s,11,2.843214853s,8.382156103s,6.705732526s,574.562140874335s
2.17000054s,12,2.716520616s,8.982198675s,5.578243546s,563.6077152598139s
2.920942611s,13,2.685112539s,8.969820808s,6.147868546s,643.4839648353047s
2.920928941s,14,2.430835714s,9.183626614s,6.084314656s,677.5435503185431s
2.509391406s,15,2.940187232s,9.12540047s,6.520339379s,522.9244940055038s
2.737187844s,16,2.382324751s,9.623701624s,6.308454344s,635.957037300291s
2.974957548s,17,2.903844364s,9.171350064s,6.879859449s,628.1595661326674s
2.71318577s,18,2.606321124s,9.499175739s,6.624861587s,676.1741950213368s
2.444337703s,19,3.078570264s,9.357486065s,6.853292366s,522.1512223030433s
3.16499478s,20,2.627204982s,8.468169347s,6.903425987s,506.3199928478109s
2.694717185s,21,2.13101677s,8.746704712s,6.247495244s,650.7007593435201s
2.83970338s,22,2.81230855s,8.82085921s,6.404436736s,597.3432625112259s
2.31666875s,23,2.646634128s,9.397663836s,6.769275362s,571.917834051966s
3.039616741s,24,2.82552914s,10.339788965s,6.600053949s,664.5894295137284s
2.961882733s,25,2.626905319s,9.485858266s,6.595626504s,623.196381957978s
3.119169956s,26,2.501864384s,8.636298311s,6.734031435s,525.44470247076s
