committee,seqId,daon,decentruth,seenfeed,deepthought
7.8467779s,1.0,7.439821066s,100.528137ms,5.0310937s,0s
6.7371732s,2.0,7.949295499s,603.225786ms,4.5254899s,0s
6.5351589s,3.0,8.25104145s,531ns,3.8260027s,0s
7.04081s,4.0,7.849145848s,1.005256389s,4.9290466s,0s
7.143897s,5.0,8.45270263s,502.373841ms,4.4300541s,0s
6.7398032s,6.0,7.948798437s,703.387393ms,5.029513s,0s
6.7437981s,7.0,7.946126196s,1.003598021s,5.3309759s,0s
7.2439212s,8.0,7.944477753s,201.14496ms,4.8305869s,0s
7.5436041s,9.0,8.050441232s,1.709368344s,4.5259936s,0s
6.2408292s,10.0,8.053127232s,1.308109827s,4.5288809s,0s
6.5398171s,11.0,4.526557062s,2.819526858s,9.4573374s,0s
7.2466251s,12.0,4.725208552s,4.02917527s,9.3579287s,0s
7.6419513s,13.0,4.724154797s,3.523059377s,9.5610341s,0s
6.4411518s,14.0,4.928052748s,3.121986649s,9.1604001s,0s
7.0384431s,15.0,5.029206021s,4.127117675s,10.5667746s,0s
7.1410569s,16.0,4.627044545s,3.421346027s,9.3639551s,0s
7.7415522s,17.0,5.128300223s,3.322294768s,9.3617679s,0s
6.7429211s,18.0,5.131637377s,3.223231673s,9.4645808s,0s
6.6408234s,19.0,4.92575569s,3.824311177s,9.0540397s,0s
7.6468598s,20.0,4.424093469s,3.926620401s,9.6600461s,0s
7.7468017s,21.0,1.913233152s,5.434593845s,2.4171431s,0s
6.6386638s,22.0,1.909651166s,5.637056125s,3.3230915s,0s
6.640206s,23.0,1.812744793s,6.337180329s,2.9181944s,0s
7.4378202s,24.0,1.812798772s,5.336546147s,2.5215529s,0s
7.4469503s,25.0,2.214668155s,6.44188741s,2.3151023s,0s
6.8447152s,26.0,1.709904991s,4.632285105s,3.1168057s,0s
6.9395548s,27.0,1.709374635s,5.836917341s,2.7187573s,0s
7.6444759s,28.0,1.309427608s,5.033561153s,2.1136789s,0s
7.3433426s,29.0,2.214225012s,6.034911674s,2.9202299s,0s
6.4370534s,30.0,1.911725012s,6.839354165s,2.6150236s,0s
6.9411129s,31.0,10.862004572s,8.049564052s,8.0499204s,0s
7.5472066s,32.0,10.866276925s,8.85503448s,7.3433621s,0s
7.2453789s,33.0,10.759925316s,7.24221162s,8.2490997s,0s
6.6433328s,34.0,10.76349774s,7.648819215s,7.1402421s,0s
6.9409988s,35.0,11.061450282s,8.040405829s,7.1411319s,0s
