committee,seqId,daon,decentruth,seenfeed,deepthought
10m26.815024857s,1,9m53.75419577s,10m31.172758886s,9m35.885920338s,0s
9m4.105697563s,2,9m54.2671534s,10m29.910713415s,9m35.167463434s,0s
8m56.314715298s,3,9m53.886384242s,10m31.050177329s,9m34.735680375s,0s
10m39.567658167s,4,9m53.80802163s,10m31.665626567s,9m35.718547198s,0s
10m26.54252578s,5,9m54.037570288s,10m30.665102315s,9m35.706849057s,0s
9m4.000108165s,6,9m53.952932357s,10m31.996310598s,9m35.624482536s,0s
8m56.518743163s,7,9m54.192701858s,10m32.607259042s,9m36.304660126s,0s
10m39.901007469s,8,9m53.948911278s,10m30.979968106s,9m34.757522231s,0s
10m26.671966908s,9,9m53.989092441s,10m31.593902344s,9m34.683987523s,0s
9m3.610952987s,10,9m53.906887276s,10m31.163489608s,9m35.215569533s,0s
8m56.837170565s,11,9m50.854660182s,10m21.529300008s,9m27.978224842s,0s
10m40.097031637s,12,9m51.042918308s,10m20.929793983s,9m29.041936621s,0s
10m26.311144496s,13,9m51.05382953s,10m20.938610407s,9m28.463233732s,0s
9m3.755172782s,14,9m51.254667158s,10m20.722284319s,9m28.527206001s,0s
8m56.706901156s,15,9m50.823616106s,10m20.719620222s,9m28.149576221s,0s
10m39.545136732s,16,9m51.343774857s,10m20.286995598s,9m28.357142361s,0s
10m26.246181843s,17,9m50.850951308s,10m20.745885416s,9m27.730511405s,0s
9m3.935166758s,18,9m51.136511531s,10m20.409161498s,9m27.9956474s,0s
8m56.768001758s,19,9m50.657843367s,10m20.493553522s,9m27.795848889s,0s
10m39.102464524s,20,9m51.111621811s,10m21.437869597s,9m27.743182837s,0s
10m26.525840134s,21,9m48.542218317s,10m11.45306572s,9m21.467889661s,0s
9m3.873501382s,22,9m47.810104618s,10m11.417166302s,9m21.313451129s,0s
8m56.917888617s,23,9m48.0387102s,10m10.800685922s,9m20.904263705s,0s
10m39.22242908s,24,9m47.840277596s,10m9.948267613s,9m21.134237378s,0s
10m26.283949768s,25,9m48.024967409s,10m10.736918547s,9m21.113974229s,0s
9m3.634612705s,26,9m48.161741432s,10m11.646071159s,9m21.00847916s,0s
8m56.931130305s,27,9m47.823993546s,10m11.639515406s,9m21.051077511s,0s
10m39.949828103s,28,9m48.352252132s,10m11.618007412s,9m21.840852381s,0s
10m26.448255592s,29,9m47.895396202s,10m11.863787665s,9m21.013307626s,0s
9m4.495619465s,30,9m48.083431129s,10m11.448964292s,9m21.108719537s,0s
8m56.44765898s,31,9m45.025833481s,10m1.550614188s,9m14.812581839s,0s
10m39.938318005s,32,9m45.651936232s,10m0.439017246s,9m14.813071009s,0s
10m26.558263934s,33,9m45.281077714s,10m1.099340944s,9m13.826427571s,0s
9m3.584271333s,34,9m45.100477973s,10m0.2753811s,9m14.081240025s,0s
8m56.593281562s,35,9m45.120737442s,10m0.201441188s,9m14.223184074s,0s
10m39.801004648s,36,9m45.307785852s,9m59.713835568s,9m14.809853903s,0s
10m26.340395078s,37,9m45.48792428s,10m0.836867515s,9m14.232168063s,0s
9m3.891361079s,38,9m45.281553862s,10m1.475778666s,9m13.925029466s,0s
8m56.444595791s,39,9m45.131703886s,10m0.524897468s,9m14.600586821s,0s
10m39.803734166s,40,9m45.28663213s,10m0.381332046s,9m14.99480704s,0s
10m23.768513425s,41,9m41.985091587s,9m50.414982105s,9m7.338998144s,0s
9m0.817664096s,42,9m42.437572891s,9m50.414366445s,9m8.050688417s,0s
8m53.46751278s,43,9m42.283995714s,9m51.091479675s,9m8.245032688s,0s
10m36.05421856s,44,9m42.056486045s,9m50.318686788s,9m7.70709055s,0s
10m23.765815211s,45,9m42.137085208s,9m49.906751558s,9m7.559933406s,0s
9m1.021567188s,46,9m42.317343572s,9m50.248134637s,9m7.153931797s,0s
8m53.169484923s,47,9m42.308979266s,9m50.216483082s,9m7.125102711s,0s
10m36.331938664s,48,9m42.192833245s,9m50.621448809s,9m7.010772655s,0s
10m23.564116515s,49,9m42.376305068s,9m50.789852637s,9m6.811778241s,0s
