comId,time,q_len,handled_num
0,1,125,0
2,1,125,0
1,1,125,0
3,1,125,0
0,6,250,0
1,6,250,0
3,6,250,0
2,6,250,0
0,11,375,0
1,11,375,0
3,11,375,0
2,11,375,0
0,16,470,30
1,16,470,30
3,16,470,30
2,16,470,30
0,21,595,30
1,21,595,30
3,21,595,30
2,21,595,30
0,26,720,30
1,26,680,70
3,26,680,70
2,26,718,32
0,31,795,80
1,31,805,70
3,31,805,70
2,31,805,70
0,36,920,80
1,36,930,70
3,36,930,70
2,36,930,70
0,41,1005,120
1,41,1005,120
3,41,1015,110
2,41,1015,110
0,46,1130,120
1,46,1130,120
3,46,1140,110
2,46,1140,110
0,51,1255,120
1,51,1217,158
3,51,1225,150
2,51,1225,150
0,56,1340,160
1,56,1340,160
3,56,1350,150
2,56,1350,150
0,61,1465,160
1,61,1465,160
3,61,1475,150
2,61,1475,150
0,66,1550,200
1,66,1550,200
3,66,1558,192
2,66,1550,200
0,71,1675,200
1,71,1675,200
3,71,1683,192
2,71,1675,200
0,76,1800,200
1,76,1764,236
3,76,1761,239
2,76,1769,231
0,81,1885,240
1,81,1889,236
3,81,1886,239
2,81,1894,231
0,86,2010,240
1,86,2014,236
3,86,2011,239
2,86,2019,231
0,91,2095,280
1,91,2095,280
3,91,2095,280
2,91,2105,270
0,96,2220,280
1,96,2220,280
3,96,2220,280
2,96,2230,270
0,101,2305,320
1,101,2305,320
3,101,2307,318
2,101,2305,320
0,106,2430,320
1,106,2430,320
3,106,2432,318
2,106,2430,320
0,111,2555,320
1,111,2555,320
3,111,2557,318
2,111,2525,350
1,116,2640,360
0,116,2640,360
2,116,2647,353
3,116,2640,360
1,121,2765,360
0,121,2765,360
2,121,2772,353
3,121,2765,360
1,126,2850,400
0,126,2890,360
2,126,2850,400
3,126,2850,400
1,131,2975,400
0,131,2965,410
2,131,2975,400
3,131,2975,400
1,136,3100,400
0,136,3090,410
2,136,3100,400
3,136,3100,400
1,141,3185,440
0,141,3180,445
2,141,3182,443
3,141,3185,440
1,146,3310,440
0,146,3305,445
2,146,3307,443
3,146,3310,440
1,151,3393,482
0,151,3430,445
2,151,3390,485
3,151,3401,474
1,156,3518,482
2,156,3515,485
0,156,3510,490
3,156,3526,474
1,161,3643,482
2,161,3640,485
0,161,3635,490
3,161,3651,474
1,166,3720,530
2,166,3720,530
0,166,3720,530
3,166,3730,520
1,171,3845,530
2,171,3845,530
0,171,3845,530
3,171,3855,520
1,176,3970,530
2,176,3932,568
0,176,3970,530
3,176,3940,560
1,181,4055,570
2,181,4057,568
0,181,4055,570
3,181,4065,560
1,186,4180,570
2,186,4150,600
0,186,4180,570
3,186,4157,593
1,191,4265,610
2,191,4275,600
0,191,4265,610
3,191,4282,593
1,196,4390,610
2,196,4400,600
0,196,4390,610
3,196,4407,593
1,201,4390,610
2,201,4360,640
0,201,4350,650
3,201,4360,640
2,206,4360,640
1,206,4341,659
0,206,4350,650
3,206,4360,640
2,211,4360,640
1,211,4341,659
0,211,4350,650
3,211,4320,680
2,216,4310,690
1,216,4300,700
0,216,4310,690
3,216,4320,680
2,221,4310,690
1,221,4300,700
0,221,4310,690
3,221,4320,680
2,226,4270,730
1,226,4300,700
0,226,4310,690
3,226,4280,720
2,231,4270,730
1,231,4260,740
0,231,4267,733
3,231,4280,720
1,236,4260,740
2,236,4270,730
0,236,4267,733
3,236,4280,720
1,241,4220,780
2,241,4230,770
0,241,4225,775
3,241,4236,764
1,246,4220,780
2,246,4230,770
0,246,4225,775
3,246,4236,764
1,251,4220,780
2,251,4182,818
0,251,4225,775
3,251,4190,810
1,256,4173,827
2,256,4182,818
0,256,4188,812
3,256,4190,810
1,261,4173,827
2,261,4182,818
0,261,4188,812
3,261,4152,848
1,266,4173,827
2,266,4140,860
0,266,4150,850
3,266,4151,849
1,271,4130,870
2,271,4140,860
0,271,4150,850
3,271,4151,849
1,276,4130,870
2,276,4140,860
0,276,4106,894
3,276,4110,890
1,281,4090,910
2,281,4100,900
0,281,4104,896
3,281,4110,890
1,286,4090,910
2,286,4100,900
0,286,4104,896
3,286,4110,890
1,291,4090,910
2,291,4060,940
0,291,4060,940
3,291,4061,939
1,296,4050,950
2,296,4060,940
0,296,4060,940
3,296,4061,939
1,301,4050,950
2,301,4060,940
0,301,4060,940
3,301,4061,939
1,306,4010,990
2,306,4020,980
0,306,4020,980
3,306,4020,980
1,311,4010,990
2,311,4020,980
0,311,4020,980
3,311,4020,980
1,316,3979,1021
2,316,3980,1020
0,316,3980,1020
3,316,3980,1020
1,321,3970,1030
2,321,3980,1020
0,321,3980,1020
3,321,3980,1020
1,326,3970,1030
2,326,3940,1060
0,326,3940,1060
3,326,3980,1020
1,331,3920,1080
2,331,3940,1060
0,331,3940,1060
3,331,3932,1068
1,336,3920,1080
2,336,3940,1060
0,336,3940,1060
3,336,3932,1068
1,341,3920,1080
2,341,3900,1100
0,341,3892,1108
3,341,3895,1105
1,346,3880,1120
2,346,3900,1100
0,346,3892,1108
3,346,3895,1105
1,351,3880,1120
2,351,3860,1140
0,351,3860,1140
3,351,3859,1141
2,356,3860,1140
1,356,3840,1160
0,356,3860,1140
3,356,3853,1147
2,361,3860,1140
1,361,3840,1160
0,361,3860,1140
3,361,3853,1147
2,366,3820,1180
1,366,3840,1160
0,366,3812,1188
3,366,3819,1181
2,371,3820,1180
1,371,3800,1200
0,371,3812,1188
3,371,3819,1181
2,376,3780,1220
1,376,3800,1200
3,376,3776,1224
0,376,3780,1220
2,381,3780,1220
1,381,3760,1240
3,381,3776,1224
0,381,3780,1220
2,386,3780,1220
1,386,3760,1240
3,386,3776,1224
0,386,3780,1220
2,391,3740,1260
1,391,3720,1280
3,391,3740,1260
0,391,3730,1270
2,396,3740,1260
1,396,3720,1280
3,396,3740,1260
0,396,3730,1270
2,401,3693,1307
1,401,3720,1280
3,401,3700,1300
0,401,3730,1270
2,406,3693,1307
1,406,3680,1320
3,406,3700,1300
0,406,3690,1310
2,411,3693,1307
1,411,3680,1320
3,411,3660,1340
0,411,3690,1310
2,416,3660,1340
1,416,3640,1360
3,416,3660,1340
0,416,3650,1350
2,421,3660,1340
1,421,3640,1360
3,421,3660,1340
0,421,3650,1350
2,426,3620,1380
1,426,3640,1360
3,426,3620,1380
0,426,3611,1389
2,431,3620,1380
1,431,3599,1401
3,431,3620,1380
0,431,3611,1389
2,436,3620,1380
1,436,3599,1401
3,436,3620,1380
0,436,3611,1389
2,441,3570,1430
1,441,3599,1401
3,441,3580,1420
0,441,3570,1430
2,446,3570,1430
1,446,3550,1450
0,446,3570,1430
3,446,3580,1420
2,451,3535,1465
1,451,3550,1450
0,451,3570,1430
3,451,3540,1460
2,456,3535,1465
1,456,3510,1490
0,456,3528,1472
3,456,3540,1460
2,461,3535,1465
1,461,3510,1490
0,461,3528,1472
3,461,3540,1460
2,466,3490,1510
1,466,3473,1527
0,466,3490,1510
3,466,3497,1503
2,471,3490,1510
1,471,3473,1527
0,471,3490,1510
3,471,3497,1503
2,476,3450,1550
1,476,3473,1527
0,476,3490,1510
3,476,3450,1550
2,481,3450,1550
1,481,3430,1570
0,481,3443,1557
3,481,3450,1550
2,486,3450,1550
1,486,3430,1570
0,486,3443,1557
3,486,3450,1550
2,491,3410,1590
1,491,3390,1610
0,491,3407,1593
3,491,3410,1590
2,496,3410,1590
1,496,3390,1610
0,496,3407,1593
3,496,3410,1590
2,501,3370,1630
1,501,3390,1610
0,501,3362,1638
3,501,3370,1630
2,506,3370,1630
1,506,3350,1650
0,506,3362,1638
3,506,3370,1630
2,511,3370,1630
1,511,3350,1650
0,511,3362,1638
3,511,3370,1630
2,516,3322,1678
1,516,3310,1690
0,516,3320,1680
3,516,3328,1672
2,521,3322,1678
1,521,3310,1690
0,521,3320,1680
3,521,3328,1672
2,526,3280,1720
1,526,3310,1690
0,526,3320,1680
3,526,3286,1714
2,531,3280,1720
1,531,3270,1730
0,531,3280,1720
3,531,3280,1720
2,536,3280,1720
1,536,3270,1730
0,536,3280,1720
3,536,3280,1720
2,541,3242,1758
1,541,3230,1770
0,541,3230,1770
3,541,3240,1760
2,546,3242,1758
1,546,3230,1770
0,546,3230,1770
3,546,3240,1760
2,551,3200,1800
1,551,3230,1770
0,551,3230,1770
3,551,3240,1760
2,556,3200,1800
1,556,3181,1819
0,556,3190,1810
3,556,3193,1807
2,561,3200,1800
1,561,3181,1819
0,561,3190,1810
3,561,3193,1807
2,566,3160,1840
1,566,3146,1854
0,566,3190,1810
3,566,3151,1849
2,571,3160,1840
1,571,3146,1854
0,571,3150,1850
3,571,3151,1849
2,576,3120,1880
0,576,3150,1850
1,576,3146,1854
3,576,3151,1849
2,581,3120,1880
0,581,3110,1890
1,581,3100,1900
3,581,3118,1882
2,586,3120,1880
0,586,3110,1890
1,586,3100,1900
3,586,3118,1882
2,591,3080,1920
0,591,3070,1930
1,591,3061,1939
3,591,3070,1930
2,596,3080,1920
0,596,3070,1930
1,596,3061,1939
3,596,3070,1930
2,601,3040,1960
0,601,3070,1930
1,601,3061,1939
3,601,3070,1930
2,606,3040,1960
0,606,3027,1973
1,606,3022,1978
3,606,3030,1970
2,611,3040,1960
0,611,3027,1973
1,611,3022,1978
3,611,3030,1970
2,616,3000,2000
0,616,3027,1973
1,616,2990,2010
3,616,2990,2010
2,621,3000,2000
0,621,2983,2017
1,621,2990,2010
3,621,2990,2010
2,626,2960,2040
0,626,2983,2017
1,626,2950,2050
3,626,2990,2010
2,631,2960,2040
0,631,2940,2060
1,631,2950,2050
3,631,2950,2050
2,636,2960,2040
0,636,2940,2060
1,636,2950,2050
3,636,2950,2050
2,641,2919,2081
0,641,2940,2060
1,641,2910,2090
3,641,2910,2090
2,646,2919,2081
0,646,2900,2100
1,646,2910,2090
3,646,2910,2090
0,651,2900,2100
2,651,2880,2120
1,651,2870,2130
3,651,2910,2090
0,656,2857,2143
2,656,2880,2120
1,656,2870,2130
3,656,2870,2130
0,661,2857,2143
2,661,2880,2120
1,661,2870,2130
3,661,2870,2130
0,666,2857,2143
2,666,2840,2160
1,666,2830,2170
3,666,2820,2180
0,671,2810,2190
1,671,2830,2170
2,671,2840,2160
3,671,2820,2180
0,676,2810,2190
1,676,2790,2210
2,676,2800,2200
3,676,2820,2180
0,681,2770,2230
1,681,2790,2210
2,681,2800,2200
3,681,2780,2220
0,686,2770,2230
1,686,2790,2210
2,686,2760,2240
3,686,2780,2220
1,691,2750,2250
0,691,2770,2230
2,691,2760,2240
3,691,2740,2260
1,696,2750,2250
0,696,2730,2270
2,696,2760,2240
3,696,2740,2260
1,701,2710,2290
0,701,2730,2270
2,701,2720,2280
3,701,2740,2260
1,706,2710,2290
0,706,2730,2270
2,706,2720,2280
3,706,2700,2300
1,711,2710,2290
0,711,2689,2311
2,711,2680,2320
3,711,2700,2300
1,716,2670,2330
0,716,2689,2311
2,716,2680,2320
3,716,2660,2340
1,721,2670,2330
0,721,2641,2359
2,721,2640,2360
3,721,2660,2340
1,726,2630,2370
0,726,2641,2359
2,726,2640,2360
3,726,2660,2340
1,731,2630,2370
0,731,2641,2359
2,731,2640,2360
3,731,2620,2380
1,736,2590,2410
0,736,2601,2399
2,736,2601,2399
3,736,2620,2380
1,741,2590,2410
0,741,2601,2399
2,741,2601,2399
3,741,2580,2420
1,746,2590,2410
0,746,2565,2435
2,746,2570,2430
3,746,2580,2420
1,751,2550,2450
0,751,2565,2435
2,751,2570,2430
3,751,2580,2420
1,756,2550,2450
0,756,2529,2471
2,756,2570,2430
3,756,2540,2460
1,761,2528,2472
2,761,2522,2478
0,761,2529,2471
3,761,2540,2460
1,766,2510,2490
2,766,2522,2478
0,766,2529,2471
3,766,2500,2500
1,771,2510,2490
2,771,2480,2520
0,771,2480,2520
3,771,2500,2500
1,776,2467,2533
2,776,2480,2520
0,776,2480,2520
3,776,2500,2500
1,781,2467,2533
2,781,2441,2559
0,781,2480,2520
3,781,2456,2544
1,786,2467,2533
2,786,2441,2559
0,786,2440,2560
3,786,2456,2544
1,791,2420,2580
2,791,2441,2559
0,791,2440,2560
3,791,2410,2590
1,796,2420,2580
2,796,2400,2600
0,796,2400,2600
3,796,2410,2590
1,801,2380,2620
2,801,2400,2600
0,801,2400,2600
3,801,2410,2590
2,806,2360,2640
1,806,2380,2620
0,806,2400,2600
3,806,2370,2630
2,811,2360,2640
1,811,2340,2660
0,811,2353,2647
3,811,2370,2630
2,816,2360,2640
1,816,2340,2660
0,816,2353,2647
3,816,2330,2670
2,821,2320,2680
1,821,2340,2660
0,821,2310,2690
3,821,2330,2670
2,826,2320,2680
1,826,2300,2700
0,826,2310,2690
3,826,2330,2670
2,831,2280,2720
1,831,2300,2700
0,831,2310,2690
3,831,2290,2710
2,836,2280,2720
1,836,2260,2740
0,836,2270,2730
3,836,2290,2710
2,841,2280,2720
1,841,2260,2740
0,841,2270,2730
3,841,2250,2750
2,846,2240,2760
1,846,2260,2740
3,846,2250,2750
0,846,2230,2770
2,851,2240,2760
1,851,2220,2780
3,851,2250,2750
0,851,2230,2770
2,856,2200,2800
1,856,2220,2780
3,856,2210,2790
0,856,2230,2770
2,861,2200,2800
1,861,2180,2820
3,861,2210,2790
0,861,2190,2810
2,866,2200,2800
1,866,2180,2820
3,866,2170,2830
0,866,2190,2810
2,871,2153,2847
1,871,2180,2820
3,871,2170,2830
0,871,2158,2842
2,876,2153,2847
1,876,2140,2860
3,876,2170,2830
0,876,2150,2850
2,881,2120,2880
1,881,2140,2860
3,881,2130,2870
0,881,2150,2850
2,886,2120,2880
1,886,2100,2900
3,886,2130,2870
0,886,2107,2893
2,891,2120,2880
1,891,2100,2900
3,891,2130,2870
0,891,2107,2893
2,896,2080,2920
1,896,2100,2900
3,896,2085,2915
