consensusTime,searchTime,onChainTime,seqId,roundId,comId
9.438398744s,1.49887909s,502.373841ms,5,1,0
9.340266939s,1.389915482s,603.225786ms,2,1,0
9.258899644s,1.022566456s,703.387393ms,6,1,0
8.95857707s,1.300418352s,1.005256389s,4,1,0
8.690032381s,1.010175808s,1.308109827s,10,1,0
8.996122905s,1.465048569s,1.003598021s,7,1,0
8.303894466s,1.380607268s,1.709368344s,9,1,0
9.919860667s,1.051856415s,100.528137ms,1,1,0
9.821831248s,1.140030459s,201.14496ms,8,1,0
10.410619769s,1.484376948s,531ns,3,1,0
8.818727474s,1.016244845s,3.824311177s,19,3,0
9.550614544s,1.096507699s,3.121986649s,14,3,0
8.545515444s,1.483224641s,4.127117675s,15,3,0
9.455806079s,1.291088403s,3.223231673s,18,3,0
9.865716155s,1.297303025s,2.819526858s,11,3,0
9.26659711s,1.465014211s,3.421346027s,16,3,0
9.386816064s,1.400674484s,3.322294768s,17,3,0
8.782481661s,1.488494805s,3.926620401s,20,3,0
9.195077785s,1.228791302s,3.523059377s,13,3,0
8.69708766s,1.460884661s,4.02917527s,12,3,0
8.786994881s,1.029534123s,5.836917341s,27,4,0
9.329463909s,1.368023025s,5.336546147s,24,4,0
9.635131219s,1.226251547s,5.033561153s,28,4,0
9.236845331s,1.095416812s,5.434593845s,21,4,0
9.049078522s,1.445908379s,5.637056125s,22,4,0
10.053798601s,1.429343243s,4.632285105s,26,4,0
8.244356747s,1.074033847s,6.44188741s,25,4,0
8.360502434s,1.050364556s,6.337180329s,23,4,0
8.668267377s,1.069880124s,6.034911674s,29,4,0
7.865263621s,1.101643192s,6.839354165s,30,4,0
8.392779938s,1.099187966s,8.650220264s,39,5,0
9.800774896s,1.176751747s,7.24221162s,33,5,0
9.20843119s,1.047875282s,7.845909745s,40,5,0
8.204138501s,1.180944797s,8.85503448s,32,5,0
9.412983638s,1.144284605s,7.648819215s,34,5,0
9.215185652s,1.349610183s,7.846841672s,38,5,0
9.021415337s,1.060078643s,8.049564052s,31,5,0
9.058603536s,1.471412391s,8.040405829s,35,5,0
8.670811359s,1.075282728s,8.44738631s,37,5,0
8.274710768s,1.220104073s,8.851631814s,36,5,0
8.936750011s,1.022342257s,200.614662ms,60,6,0
9.817032558s,1.438648542s,9.356998237s,49,6,0
8.640443492s,1.37925937s,503.033338ms,54,6,0
10.034100676s,1.338639925s,9.156089376s,44,6,0
9.252414146s,1.025912237s,9.956694628s,47,6,0
9.558701788s,1.308178452s,9.654101223s,42,6,0
8.756320484s,1.10838204s,10.460064731s,43,6,0
9.158108651s,1.269102428s,10.059745635s,46,6,0
9.774217233s,1.288676746s,9.451433954s,48,6,0
8.891523878s,1.088465184s,301.432066ms,59,6,0
