consensusTime,searchTime,onChainTime,seqId,roundId,comId
23.570083423s,1.123133313s,0s,9,9,0
23.776042222s,1.002994882s,0s,1,1,0
24.16973244s,1.304233586s,0s,7,7,0
24.517692943s,1.488016019s,0s,4,4,0
24.797426635s,1.472861325s,0s,8,8,0
25.621559126s,1.156364718s,0s,6,6,0
25.63514637s,1.296986028s,0s,5,5,0
25.989872061s,1.199714247s,0s,10,10,0
26.189531938s,1.443697408s,0s,2,2,0
27.156642379s,1.393475715s,0s,3,3,0
23.960662863s,1.493454927s,0s,13,13,0
24.031349875s,1.078750981s,0s,11,11,0
24.331281375s,1.011183805s,0s,16,16,0
24.568958639s,1.189262353s,0s,17,17,0
24.662625386s,1.257475231s,0s,15,15,0
24.935403359s,1.422048838s,0s,18,18,0
25.278040658s,1.430271162s,0s,20,20,0
25.826101886s,1.176033784s,0s,12,12,0
25.910610855s,1.414806495s,0s,14,14,0
26.571821512s,1.045423053s,0s,19,19,0
23.668003326s,1.11382015s,0s,21,21,0
23.691616139s,1.397996623s,0s,27,27,0
24.15738815s,1.10758381s,0s,30,30,0
25.196699809s,1.249512217s,0s,29,29,0
25.411404993s,1.048137844s,0s,26,26,0
25.421005587s,1.28275354s,0s,24,24,0
25.536691462s,1.104392198s,0s,23,23,0
26.297421418s,1.182038841s,0s,28,28,0
26.468183425s,1.451303506s,0s,25,25,0
26.568856148s,1.230309302s,0s,22,22,0
22.819045412s,1.099979508s,0s,37,37,0
23.584912044s,1.454068638s,0s,38,38,0
23.623645705s,1.271925153s,0s,31,31,0
24.704642512s,1.381938976s,0s,35,35,0
24.800367234s,1.49035553s,0s,39,39,0
25.203315019s,1.308370768s,0s,36,36,0
25.416104952s,1.306108746s,0s,32,32,0
25.893159654s,1.0907364s,0s,33,33,0
26.085899642s,1.154110271s,0s,40,40,0
26.708143614s,1.185370637s,0s,34,34,0
24.178833315s,1.236805137s,0s,42,42,0
24.673869412s,1.127015656s,0s,48,48,0
24.961756787s,1.402743678s,0s,46,46,0
24.992436556s,1.489016449s,0s,49,49,0
25.137209586s,1.373559337s,0s,45,45,0
25.453048721s,1.136269782s,0s,44,44,0
26.116782355s,1.10286854s,0s,47,47,0
26.544650379s,1.316333283s,0s,43,43,0
26.552365973s,1.240063475s,0s,50,50,0
27.542054729s,1.183582448s,0s,41,41,0
23.280542321s,1.222688273s,0s,52,52,0
24.805880183s,1.247063091s,0s,59,59,0
25.007529392s,1.233938011s,0s,58,58,0
25.366378957s,1.364363245s,0s,57,57,0
25.455957418s,1.04811364s,0s,55,55,0
25.538483393s,1.05731245s,0s,56,56,0
26.103157824s,1.480043007s,0s,54,54,0
26.259912134s,1.426582236s,0s,60,60,0
26.789916661s,1.446787174s,0s,53,53,0
27.829510846s,1.499281332s,0s,51,51,0
23.312076475s,1.225804458s,0s,61,61,0
24.205722618s,1.462041607s,0s,63,63,0
24.22530034s,1.47230429s,0s,66,66,0
24.349023199s,1.374765024s,0s,62,62,0
25.240369862s,1.488792727s,0s,64,64,0
25.580237823s,1.490991496s,0s,70,70,0
25.677915482s,1.367550733s,0s,67,67,0
26.692208945s,1.261017123s,0s,68,68,0
27.225047586s,1.481556278s,0s,65,65,0
27.323681199s,1.29327419s,0s,69,69,0
23.815172151s,1.137213495s,0s,74,74,0
24.087809891s,1.172499346s,0s,75,75,0
24.798963086s,1.24631412s,0s,80,80,0
24.962671724s,1.483663116s,0s,79,79,0
25.093336117s,1.280674217s,0s,77,77,0
25.148984171s,1.240085408s,0s,72,72,0
25.817911217s,1.413086529s,0s,71,71,0
26.047696362s,1.422308317s,0s,76,76,0
26.260509271s,1.19271366s,0s,73,73,0
27.15787519s,1.360904823s,0s,78,78,0
22.943917897s,1.080370181s,0s,85,85,0
23.944836809s,1.203383427s,0s,82,82,0
24.19585595s,1.413261781s,0s,86,86,0
24.328605399s,1.210688196s,0s,90,90,0
24.77670162s,1.198046661s,0s,87,87,0
24.923495007s,1.087590232s,0s,88,88,0
25.452331724s,1.042122001s,0s,84,84,0
25.951178219s,1.347999169s,0s,89,89,0
26.48775663s,1.141853031s,0s,83,83,0
26.899750598s,1.458454183s,0s,81,81,0
23.05614152s,1.158423433s,0s,93,93,0
24.173757815s,1.144174059s,0s,94,94,0
24.400101411s,1.17902188s,0s,91,91,0
24.421745871s,1.173821898s,0s,99,99,0
24.459391585s,1.33164922s,0s,100,100,0
24.596152145s,1.392949161s,0s,97,97,0
24.748863519s,1.159536824s,0s,96,96,0
25.404036654s,1.494323305s,0s,92,92,0
26.589998145s,1.493166877s,0s,95,95,0
27.078046506s,1.318432962s,0s,98,98,0
23.130329792s,1.067133569s,0s,102,102,0
23.936210058s,1.249295175s,0s,104,104,0
24.637496723s,1.185935523s,0s,108,108,0
24.773284946s,1.139422494s,0s,101,101,0
24.990126759s,1.251493747s,0s,103,103,0
25.05186793s,1.175708014s,0s,106,106,0
25.908219206s,1.363367545s,0s,107,107,0
26.210974907s,1.265774912s,0s,110,110,0
26.306658774s,1.384615552s,0s,105,105,0
27.21183046s,1.293002668s,0s,109,109,0
23.790359046s,1.372235316s,0s,117,117,0
23.924982233s,1.229328181s,0s,113,113,0
24.33491811s,1.371063596s,0s,115,115,0
24.346373034s,1.192997852s,0s,111,111,0
24.805319767s,1.303821802s,0s,119,119,0
24.920088901s,1.246567542s,0s,114,114,0
25.111383s,1.469499516s,0s,120,120,0
25.212048917s,1.00414058s,0s,118,118,0
25.662000834s,1.163769404s,0s,116,116,0
25.791608777s,1.155459275s,0s,112,112,0
24.948593425s,1.341637798s,0s,127,127,0
25.03825625s,1.11471297s,0s,121,121,0
25.207995037s,1.147986611s,0s,124,124,0
25.397727763s,1.068217378s,0s,130,130,0
25.589446916s,1.344901117s,0s,129,129,0
26.24693259s,1.355055328s,0s,122,122,0
26.289433761s,1.276398797s,0s,126,126,0
26.397143107s,1.106456447s,0s,128,128,0
27.016271114s,1.383311009s,0s,125,125,0
27.209116321s,1.241143302s,0s,123,123,0
23.545719282s,1.372070608s,0s,131,131,0
23.949688449s,1.404293483s,0s,140,140,0
24.72500188s,1.23093211s,0s,137,137,0
24.887724712s,1.448788332s,0s,133,133,0
25.055375442s,1.434573359s,0s,136,136,0
25.180152949s,1.087218119s,0s,135,135,0
26.048554282s,1.172442617s,0s,139,139,0
26.122301453s,1.005938507s,0s,132,132,0
26.159905041s,1.214706098s,0s,134,134,0
26.422637432s,1.478020434s,0s,138,138,0
23.100715067s,1.182629833s,0s,149,149,0
23.202405268s,1.156174836s,0s,146,146,0
24.081698694s,1.173410879s,0s,145,145,0
24.992110717s,1.068982966s,0s,148,148,0
25.144919986s,1.266377583s,0s,147,147,0
25.323760186s,1.228091428s,0s,144,144,0
26.092802138s,1.020715516s,0s,142,142,0
26.176404228s,1.212938475s,0s,150,150,0
26.731159654s,1.487027312s,0s,143,143,0
27.705595741s,1.473750451s,0s,141,141,0
23.78659117s,1.144113492s,0s,158,158,0
24.401579322s,1.150320643s,0s,155,155,0
25.203890531s,1.118700064s,0s,157,157,0
25.471715571s,1.498659222s,0s,154,154,0
25.670515763s,1.128926601s,0s,153,153,0
25.711186876s,1.414352952s,0s,160,160,0
25.723827376s,1.18463424s,0s,152,152,0
25.766473776s,1.278029774s,0s,159,159,0
25.80608463s,1.068375119s,0s,156,156,0
27.271055517s,1.231901983s,0s,151,151,0
23.619668816s,1.443811044s,0s,162,162,0
24.047662017s,1.079824164s,0s,165,165,0
25.45650446s,1.37133451s,0s,161,161,0
25.55012993s,1.325064414s,0s,168,168,0
25.864579589s,1.39564148s,0s,163,163,0
26.123438486s,1.303666402s,0s,170,170,0
26.287098267s,1.128272654s,0s,169,169,0
26.502846197s,1.087104271s,0s,167,167,0
26.561538522s,1.07982861s,0s,164,164,0
27.290826398s,1.318840933s,0s,166,166,0
24.027463794s,1.361468069s,0s,171,171,0
25.006391055s,1.345267123s,0s,178,178,0
25.104114224s,1.331074435s,0s,176,176,0
25.340931627s,1.320935469s,0s,175,175,0
25.82682623s,1.131513572s,0s,174,174,0
25.896472622s,1.076147552s,0s,180,180,0
26.798546605s,1.416099165s,0s,177,177,0
26.802141517s,1.364646758s,0s,173,173,0
26.816742919s,1.389882668s,0s,179,179,0
27.007326928s,1.125337462s,0s,172,172,0
23.350266323s,1.419053778s,0s,181,181,0
24.585408369s,1.28761644s,0s,190,190,0
24.930181971s,1.268321342s,0s,188,188,0
25.236977003s,1.260049251s,0s,189,189,0
25.261528935s,1.437072947s,0s,186,186,0
25.311097966s,1.36691644s,0s,182,182,0
25.370722481s,1.137418681s,0s,187,187,0
26.045603654s,1.223930655s,0s,183,183,0
26.629420997s,1.114205293s,0s,185,185,0
