consensusTime,searchTime,onChainTime,seqId,roundId,comId
6.306863s,1.1269819s,4.5259936s,9,2,0
5.9142585s,1.2093032s,4.9290466s,4,2,0
7.0278057s,1.2977716s,3.8260027s,3,2,0
5.8258142s,1.0395959s,5.029513s,6,2,0
6.0341477s,1.3005996s,4.8305869s,8,2,0
5.5594696s,1.0293598s,5.3309759s,7,2,0
6.4703056s,1.0395959s,4.4300541s,5,2,0
5.8791087s,1.0623474s,5.0310937s,1,2,0
6.3884603s,1.4193522s,4.5254899s,2,2,0
6.3850693s,1.3092895s,4.5288809s,10,2,0
6.8048034s,1.0823483s,9.3617679s,17,4,0
6.854582s,1.4994089s,2.1136789s,28,4,0
6.7141545s,1.3654604s,9.4573374s,11,4,0
6.2578979s,1.1474148s,2.7187573s,27,4,0
5.6116832s,1.1018235s,10.5667746s,15,4,0
6.3662838s,1.3316028s,2.6150236s,30,4,0
6.5212287s,1.4074647s,9.6600461s,20,4,0
6.063113s,1.3247139s,2.9181944s,23,4,0
6.7321366s,1.194583s,9.4645808s,18,4,0
6.4751971s,1.4373125s,2.5215529s,24,4,0
6.6840048s,1.4604355s,2.3151023s,25,4,0
6.6452297s,1.2639546s,9.5610341s,13,4,0
6.0954891s,1.2427667s,2.9202299s,29,4,0
7.0578053s,1.3756629s,9.1604001s,14,4,0
6.6158302s,1.070835s,2.4171431s,21,4,0
5.7128948s,1.1723806s,3.3230915s,22,4,0
6.8840032s,1.0945846s,9.3639551s,16,4,0
5.9338294s,1.1855444s,3.1168057s,26,4,0
6.8960784s,1.4945295s,9.3579287s,12,4,0
7.1999674s,1.4818682s,9.0540397s,19,4,0
6.3460488s,1.4682087s,402.3972ms,42,5,0
6.1338077s,1.0238011s,7.5448033s,36,5,0
5.4295113s,1.2898167s,8.2490997s,33,5,0
5.9544893s,1.086493s,803.9374ms,46,5,0
6.7695404s,1.4397034s,0s,45,5,0
6.3542271s,1.3689504s,7.3433621s,32,5,0
6.3713246s,1.0043028s,404.074ms,44,5,0
5.9734431s,1.4453888s,804.5703ms,48,5,0
6.6813509s,1.139196s,100.6326ms,41,5,0
6.2915473s,1.2936346s,502.3453ms,47,5,0
6.5760885s,1.2572241s,7.1427111s,39,5,0
6.2935586s,1.494288s,503.0504ms,43,5,0
6.3818452s,1.0156344s,7.3429061s,38,5,0
6.6068316s,1.1468838s,7.1411319s,35,5,0
6.127821s,1.3193666s,704.8392ms,50,5,0
5.7097288s,1.207382s,8.0499204s,31,5,0
6.9221906s,1.4921874s,6.8393926s,40,5,0
6.6213411s,1.2014283s,7.1402421s,34,5,0
6.7234942s,1.3173973s,7.0422991s,37,5,0
6.9349378s,1.3037242s,0s,49,5,0
6.0892105s,1.0837224s,6.6398634s,56,7,0
6.0892105s,1.0495639s,6.6465899s,51,7,0
5.7233526s,1.2229304s,201.4587ms,67,7,0
6.8102775s,1.2051508s,5.9380651s,52,7,0
6.309683s,1.0345773s,6.4403558s,53,7,0
6.0098744s,1.0558438s,6.7401644s,57,7,0
6.5103972s,1.27168s,6.2396416s,55,7,0
5.8460812s,1.0168685s,100.042ms,62,7,0
6.3131685s,1.4096s,6.44543s,54,7,0
5.6393827s,1.3860335s,7.1437512s,60,7,0
6.6555409s,1.3581815s,6.1440606s,58,7,0
6.2693073s,1.0147683s,6.5396197s,59,7,0
6.2549801s,1.4436636s,0s,61,7,0
5.8897474s,1.2687171s,5.4337092s,80,9,0
5.5858766s,1.0307281s,5.7414267s,79,9,0
6.6902888s,1.0205294s,11.7810792s,65,9,0
6.8073201s,1.2507554s,4.5276973s,72,9,0
6.6118452s,1.2142246s,11.8735337s,68,9,0
6.9194156s,1.23328s,11.576878s,70,9,0
6.6311758s,1.364367s,11.8833379s,63,9,0
7.1440647s,1.3786999s,11.37145s,66,9,0
6.5401808s,1.0300515s,11.9753339s,64,9,0
5.947463s,1.140837s,5.4333653s,76,9,0
6.0610983s,1.3687421s,5.3371752s,74,9,0
6.0627135s,1.355187s,5.3378552s,71,9,0
6.4706152s,1.2507554s,4.9311718s,78,9,0
6.8738614s,1.0924082s,4.5279256s,77,9,0
6.2698606s,1.392497s,5.1319264s,73,9,0
5.9685722s,1.0906856s,5.4367435s,75,9,0
6.9839519s,1.4841277s,11.5734947s,69,9,0
6.1374323s,1.2260758s,5.1320382s,93,11,0
6.122029s,1.1109912s,11.8735816s,85,11,0
6.3230303s,1.3471305s,11.6725803s,82,11,0
6.7195336s,1.4849984s,11.276077s,88,11,0
6.3289593s,1.4036032s,11.6748146s,84,11,0
6.5345052s,1.1179783s,11.4793661s,89,11,0
6.4647837s,1.3557119s,4.8332892s,91,11,0
6.464473s,1.1665519s,4.8335999s,98,11,0
6.8736011s,1.249989s,4.4310418s,100,11,0
5.9561779s,1.1776195s,12.0828925s,81,11,0
6.4697795s,1.371795s,11.5707422s,83,11,0
6.6922944s,1.4141134s,4.6292598s,94,11,0
5.9863473s,1.1558831s,5.3352069s,92,11,0
6.371099s,1.0684005s,11.6768978s,87,11,0
5.5705007s,1.0425056s,12.4844068s,90,11,0
5.914211s,1.1022004s,5.4382124s,95,11,0
5.8154442s,1.3215251s,5.5369792s,99,11,0
6.8278239s,1.2509214s,4.5331715s,96,11,0
6.5064878s,1.4771172s,11.5746002s,86,11,0
6.2295601s,1.4899199s,5.1354418s,97,11,0
6.1495548s,1.1487773s,11.0674574s,103,13,0
6.4797859s,1.0666984s,3.6223051s,118,13,0
6.7873168s,1.3905078s,3.3258356s,120,13,0
6.8980849s,1.2333843s,3.2212418s,116,13,0
6.4646575s,1.2967321s,10.7695904s,101,13,0
6.4659383s,1.4635163s,10.7683096s,110,13,0
6.0946089s,1.0247319s,4.0289087s,111,13,0
7.0087468s,1.2734832s,3.1197593s,112,13,0
6.8158386s,1.3256838s,3.3217294s,115,13,0
6.9196346s,1.4595755s,3.2213568s,119,13,0
6.1232016s,1.0743806s,4.0271883s,113,13,0
6.3934048s,1.1114293s,10.8739337s,109,13,0
7.0086599s,1.3644682s,10.2634807s,105,13,0
6.3127529s,1.0648094s,10.9705615s,102,13,0
6.3127529s,1.3397179s,10.9705615s,104,13,0
7.1149212s,1.4706613s,10.1683932s,108,13,0
6.321737s,1.0108585s,10.9746349s,107,13,0
6.0322491s,1.395775s,11.2691277s,106,13,0
6.0607527s,1.1311033s,4.1276431s,114,13,0
6.272313s,1.2885592s,3.92312s,117,13,0
7.0405968s,1.4186969s,1.0074504s,134,15,0
6.2804841s,1.1522795s,8.9560681s,127,15,0
7.1848658s,1.3789029s,8.0516864s,130,15,0
6.9904748s,1.3470651s,8.2579944s,128,15,0
5.7851174s,1.2118013s,9.4633518s,125,15,0
6.0568753s,1.3376022s,2.0132522s,132,15,0
6.4607767s,1.1612465s,1.6111958s,136,15,0
6.1125098s,1.3507306s,9.1621429s,121,15,0
6.6878768s,1.4014867s,1.4095688s,137,15,0
5.9908347s,1.4453628s,2.1135148s,135,15,0
6.4339591s,1.4386296s,8.8573223s,122,15,0
6.1393502s,1.3445955s,9.1562329s,123,15,0
6.6020111s,1.2344852s,1.5119407s,140,15,0
