committee,seqId,daon,decentruth,seenfeed,deepthought
1.3096005s,1.0,1.300260338s,1.051856415s,1.0623474s,1.002994882s
1.0917318s,2.0,1.094011527s,1.389915482s,1.4193522s,1.443697408s
1.19888s,3.0,1.053436615s,1.484376948s,1.2977716s,1.393475715s
1.1577325s,4.0,1.3735955s,1.300418352s,1.2093032s,1.488016019s
1.4972779s,5.0,1.0424637s,1.49887909s,1.0395959s,1.296986028s
1.1564438s,6.0,1.334188008s,1.022566456s,1.0395959s,1.156364718s
1.2569475s,7.0,1.152190559s,1.465048569s,1.0293598s,1.304233586s
1.3061552s,8.0,1.414176315s,1.140030459s,1.3005996s,1.472861325s
1.4972779s,9.0,1.018118257s,1.380607268s,1.1269819s,1.123133313s
1.3048665s,10.0,1.278324206s,1.010175808s,1.3092895s,1.199714247s
1.4993624s,11.0,1.427069064s,1.297303025s,1.3654604s,1.078750981s
1.4854109s,12.0,1.408275574s,1.460884661s,1.4945295s,1.176033784s
1.1594678s,13.0,1.371017549s,1.228791302s,1.2639546s,1.493454927s
1.0865593s,14.0,1.299590185s,1.096507699s,1.3756629s,1.414806495s
1.3942842s,15.0,1.102792783s,1.483224641s,1.1018235s,1.257475231s
1.4595554s,16.0,1.200556333s,1.465014211s,1.0945846s,1.011183805s
1.4767033s,17.0,1.202892046s,1.400674484s,1.0823483s,1.189262353s
1.0565871s,18.0,1.200570767s,1.291088403s,1.194583s,1.422048838s
1.4032806s,19.0,1.130238501s,1.016244845s,1.4818682s,1.045423053s
1.1901592s,20.0,1.222617083s,1.488494805s,1.4074647s,1.430271162s
1.0909862s,21.0,1.067817345s,1.095416812s,1.070835s,1.11382015s
1.2730888s,22.0,1.122627036s,1.445908379s,1.1723806s,1.230309302s
1.1289509s,23.0,1.059854904s,1.050364556s,1.3247139s,1.104392198s
1.37117s,24.0,1.19902516s,1.368023025s,1.4373125s,1.28275354s
1.1479288s,25.0,1.061063302s,1.074033847s,1.4604355s,1.451303506s
1.1594678s,26.0,1.081009795s,1.429343243s,1.1855444s,1.048137844s
1.2209329s,27.0,1.136928603s,1.029534123s,1.1474148s,1.397996623s
1.0460917s,28.0,1.40324057s,1.226251547s,1.4994089s,1.182038841s
1.389583s,29.0,1.202349001s,1.069880124s,1.2427667s,1.249512217s
1.4937782s,30.0,1.189088255s,1.101643192s,1.3316028s,1.10758381s
1.3760564s,31.0,1.275647615s,1.060078643s,1.207382s,1.271925153s
1.2289508s,32.0,1.159508103s,1.180944797s,1.3689504s,1.306108746s
1.4466536s,33.0,1.187295846s,1.176751747s,1.2898167s,1.0907364s
1.221702s,34.0,1.038298715s,1.144284605s,1.2014283s,1.185370637s
1.3617604s,35.0,1.02380987s,1.471412391s,1.1468838s,1.381938976s
1.4114526s,36.0,1.168421987s,1.220104073s,1.0238011s,1.308370768s
1.494445s,37.0,1.194914388s,1.075282728s,1.3173973s,1.099979508s
1.2493352s,38.0,1.380489269s,1.349610183s,1.0156344s,1.454068638s
1.3557386s,39.0,1.192754226s,1.099187966s,1.2572241s,1.49035553s
