committee,seqId,daon,decentruth,seenfeed,deepthought
1.029766481s,1,1.415361086s,1.077375758s,1.026921049s,1.9738699352927456s
1.315343506s,2,1.239671753s,1.421784218s,1.105914509s,1.0559581368313453s
1.163047054s,3,1.038947839s,1.474364791s,1.037380673s,1.9384651816788607s
1.132564701s,4,1.28327645s,1.312057441s,1.030020274s,1.3928451624658464s
1.076559638s,5,1.383603159s,1.287865767s,1.334303791s,1.5005205053958273s
1.301831384s,6,1.432890535s,1.156664968s,1.388540699s,1.456234034047415s
1.340359003s,7,1.009170273s,1.039087492s,1.0686914s,1.5613867921333624s
1.006540272s,8,1.350761188s,1.429073241s,1.313057922s,1.166202148900801s
1.178404846s,9,1.030070808s,1.033845765s,1.461738187s,1.1210298291239726s
1.47949925s,10,1.313744659s,1.077348747s,1.032177024s,1.0455843516754275s
1.024031751s,11,1.289708548s,1.214727325s,1.41263451s,1.7209585405091141s
1.025250135s,12,1.331333056s,1.403012595s,1.029288347s,1.3799024852028436s
1.309585716s,13,1.250002256s,1.11110831s,1.396060028s,1.6594189783227373s
1.244551244s,14,1.215808357s,1.456493612s,1.143713799s,1.3277268309162216s
1.202867803s,15,1.223487433s,1.183018191s,1.28145173s,1.077144360931786s
1.334907871s,16,1.129041588s,1.090347818s,1.184467736s,1.7299318966838833s
1.398301801s,17,1.299565053s,1.46477783s,1.178277101s,1.7926048973763344s
1.126063537s,18,1.111246161s,1.48670985s,1.27618034s,1.1115522006120209s
1.006514826s,19,1.419644168s,1.102597444s,1.439067371s,1.7730706470024464s
1.492569341s,20,1.300711051s,1.185266264s,1.473479929s,1.015134486291057s
1.474077188s,21,1.001312464s,1.168094095s,1.323697228s,1.3187375176342533s
1.381464609s,22,1.371058992s,1.008023087s,1.301595759s,1.104276576979193s
1.247829135s,23,1.480719115s,1.382039405s,1.328060373s,1.2725547725757176s
1.314026466s,24,1.094428133s,1.3999795s,1.196324511s,1.0276455732747656s
1.361570061s,25,1.400474419s,1.403083361s,1.155682115s,1.2607469410135443s
1.359281303s,26,1.287527983s,1.490095992s,1.115215301s,1.4177824049523968s
1.082091753s,27,1.305076869s,1.294276324s,1.350956093s,1.7186817255209128s
1.093186957s,28,1.102045644s,1.055029817s,1.18125002s,1.9494977589530997s
1.353627691s,29,1.355594648s,1.040764653s,1.487781307s,1.7071047414583438s
1.164145936s,30,1.030900284s,1.031428761s,1.305812833s,1.4906793316774023s
1.026376369s,31,1.280877674s,1.000070575s,1.218430546s,1.2287374252026981s
1.304086622s,32,1.132744335s,1.324077846s,1.10566723s,1.29855071110665s
1.15105346s,33,1.381259469s,1.089014579s,1.436965035s,1.5646514809629686s
1.332683229s,34,1.364678812s,1.071068523s,1.263484043s,1.5375212524056492s
1.441028966s,35,1.272244934s,1.16375548s,1.399516957s,1.6902306387435488s
1.254467626s,36,1.265535824s,1.45034504s,1.230018974s,1.400232072817321s
1.33500429s,37,1.00656429s,1.269347967s,1.073881722s,1.3120102721905083s
1.360436307s,38,1.285418263s,1.011096822s,1.449782653s,1.8357369951229754s
1.127303964s,39,1.285425041s,1.092359845s,1.069544034s,1.201696456824474s
1.133696307s,40,1.236088055s,1.078824562s,1.329489752s,1.8358512631933617s
1.226048267s,41,1.294331105s,1.240806899s,1.403830216s,1.2984055358834183s
1.493235413s,42,1.060091356s,1.40014453s,1.160931135s,1.4333957641968165s
1.446706968s,43,1.195534008s,1.463038669s,1.463820157s,1.440102985485043s
1.454033938s,44,1.319522686s,1.499066243s,1.352099472s,1.740941766779493s
1.415883251s,45,1.31519901s,1.437688653s,1.35953919s,1.71101437592076s
1.077386975s,46,1.250405598s,1.377259132s,1.071948157s,1.4025846954797228s
1.428028427s,47,1.336009936s,1.483267054s,1.162007713s,1.1595081260419045s
1.422082295s,48,1.33979689s,1.057026283s,1.441475059s,1.90481157866322s
1.373521789s,49,1.412933317s,1.337701239s,1.4808122s,1.36522607172142s
1.18748501s,50,1.050075882s,1.120224257s,1.219813938s,1.183100585246271s
1.46328575s,51,1.120890939s,1.462763093s,1.148048968s,1.231828658378423s
1.454045737s,52,1.412636742s,1.438707587s,1.26369823s,1.9094792574553274s
1.224917205s,53,1.372104804s,1.047519218s,1.054951591s,1.2089809364958s
1.21612375s,54,1.45916483s,1.103845435s,1.209610278s,1.4670067152027988s
1.023261436s,55,1.066534817s,1.491092343s,1.391856806s,1.6446438904241276s
1.476397875s,56,1.101026413s,1.25291694s,1.093749034s,1.8164302096509615s
1.46073311s,57,1.401695212s,1.227355784s,1.409815831s,1.1718479718043338s
1.372737551s,58,1.348850675s,1.008028116s,1.122179078s,1.1472205545556846s
1.239767987s,59,1.438045454s,1.478667484s,1.283667012s,1.2168418214533123s
1.186815341s,60,1.300480484s,1.390653125s,1.125475549s,1.5641419240059742s
1.18540109s,61,1.273005804s,1.144678184s,1.356398912s,1.6505235925026533s
1.414458822s,62,1.291798095s,1.474024114s,1.09008394s,1.3914733075038601s
1.233248022s,63,1.448168238s,1.306862891s,1.408018891s,1.7821075396158497s
1.00542026s,64,1.119009019s,1.47833482s,1.107148072s,1.2097396858951885s
1.433530357s,65,1.257700987s,1.364524848s,1.239073212s,1.5847798784575085s
1.36581401s,66,1.129002176s,1.209126807s,1.440714485s,1.1182045720623015s
1.293826243s,67,1.077035491s,1.005508183s,1.118018606s,1.445369244237562s
1.258632496s,68,1.290672967s,1.38470017s,1.355294732s,1.0278354893468489s
1.363575657s,69,1.360377482s,1.3569993s,1.414458112s,1.4500618861063312s
1.281591814s,70,1.271885683s,1.095740673s,1.258785506s,1.145307290323247s
1.337790582s,71,1.493754653s,1.175291048s,1.055925368s,1.7752682134192614s
1.24459502s,72,1.189779786s,1.32374757s,1.105037896s,1.0452328799875024s
1.363551362s,73,1.145731217s,1.395107701s,1.452049634s,1.0075490459353094s
1.269463341s,74,1.053086262s,1.478037847s,1.151571049s,1.7004883879671977s
1.390050983s,75,1.169852348s,1.453072272s,1.478804702s,1.691143654550031s
1.374395354s,76,1.076534324s,1.164599635s,1.051719481s,1.233718773308642s
1.242968737s,77,1.498274734s,1.183744766s,1.321775926s,1.4843011889094764s
1.334109939s,78,1.224712204s,1.032509694s,1.010319605s,1.9934572483028337s
1.23206946s,79,1.077671077s,1.069984811s,1.135528305s,1.0876217708278308s
1.077265853s,80,1.438342914s,1.48551738s,1.385056914s,1.0538701322031896s
1.096404135s,81,1.172503877s,1.288277854s,1.129466323s,1.2685087839398155s
1.230606837s,82,1.039207604s,1.320286576s,1.437412099s,1.6228569322585586s
1.223953312s,83,1.404343493s,1.046806785s,1.471002326s,1.424862926002168s
1.239004174s,84,1.448023752s,1.3829651s,1.001093612s,1.029576373146889s
1.39121535s,85,1.114812289s,1.346776378s,1.153817296s,1.4180702895658719s
1.222875154s,86,1.150194732s,1.135418974s,1.210739086s,1.6946112218997165s
1.480746925s,87,1.307792994s,1.209470461s,1.434044067s,1.0134507605386758s
1.253487504s,88,1.457751138s,1.020591774s,1.312663142s,1.2609666354222433s
1.16445228s,89,1.307780294s,1.344489122s,1.195701925s,1.7987846300350607s
1.498388914s,90,1.264638743s,1.122728087s,1.305318491s,1.5789679028908012s
1.431265412s,91,1.086007705s,1.306799253s,1.181288228s,1.0112804040991028s
1.451802887s,92,1.223339108s,1.079395165s,1.293866348s,1.6323712871871572s
1.326334908s,93,1.448698404s,1.136266387s,1.173956694s,1.1930797779987636s
1.350765323s,94,1.087137086s,1.107754078s,1.080345012s,1.3140012928355294s
1.397183895s,95,1.032910344s,1.075039156s,1.446732889s,1.1636161707481851s
1.078032426s,96,1.355121129s,1.366167018s,1.021910759s,1.2185381310249277s
1.085717645s,97,1.22559053s,1.38304731s,1.229776588s,1.3329483421080965s
1.344055686s,98,1.309434287s,1.427797325s,1.165279879s,1.7462089564326428s
1.392629003s,99,1.499523296s,1.008554206s,1.258091694s,1.9973558375216016s
1.053784974s,100,1.487077566s,1.171147794s,1.241578218s,1.755524464986189s
1.244773488s,101,1.361008285s,1.183314374s,1.029800651s,1.7479445324012888s
1.479501295s,102,1.056495356s,1.314417095s,1.249002214s,1.7461513365933365s
1.362869671s,103,1.385340939s,1.349553729s,1.032996352s,1.4107262692462232s
1.153569234s,104,1.327818224s,1.131560135s,1.285984681s,1.1570043916969104s
1.314237398s,105,1.471662056s,1.141562046s,1.453593935s,1.6730328347992978s
1.345180068s,106,1.486042706s,1.017761535s,1.198674615s,1.6762472382048927s
1.384896375s,107,1.006022539s,1.132716481s,1.434883523s,1.1735403453559061s
1.053816036s,108,1.308043604s,1.09804537s,1.266682302s,1.935556091680176s
1.212050361s,109,1.000529606s,1.452562861s,1.320567033s,1.7126775103172431s
1.232844216s,110,1.402093464s,1.238926237s,1.35591379s,1.0310081131209055s
1.153673492s,111,1.398021437s,1.186836438s,1.404710391s,1.9596304976315708s
1.434167992s,112,1.112082105s,1.190022066s,1.059320173s,1.2002152745022123s
1.367145186s,113,1.120925449s,1.225030847s,1.025349812s,1.2299731818765307s
1.438830043s,114,1.12640494s,1.350286856s,1.13382203s,1.2087288249343304s
1.134889264s,115,1.249749844s,1.027030008s,1.238641023s,1.208207048605012s
1.404812002s,116,1.118698559s,1.150439996s,1.028655818s,1.348353117025229s
1.457303897s,117,1.008426446s,1.294110367s,1.047684605s,1.343801918609595s
1.127095563s,118,1.286768236s,1.203960231s,1.006515066s,1.5259372416333492s
1.266951157s,119,1.046088497s,1.289639278s,1.077475166s,1.998889538164494s
1.236763259s,120,1.025002702s,1.250172775s,1.078626692s,1.3985470809504617s
1.307597437s,121,1.274197772s,1.064395706s,1.457424741s,1.7345228255528053s
1.398252836s,122,1.090175075s,1.296690384s,1.313868656s,1.8212551788869127s
1.138086076s,123,1.08236428s,1.462083166s,1.349854418s,1.3274481566516743s
1.400022741s,124,1.19931255s,1.428227703s,1.008566551s,1.0721147558659578s
1.155358285s,125,1.094736551s,1.046544329s,1.037413305s,1.651874989952931s
1.342004066s,126,1.354100012s,1.166386996s,1.206503252s,1.83434625152681s
1.044797027s,127,1.47658442s,1.425992046s,1.370806636s,1.338181955450664s
1.290570456s,128,1.2652663s,1.075386388s,1.164053192s,1.2690196858597838s
1.412112649s,129,1.051423908s,1.491616219s,1.113719365s,1.318511542209066s
1.451539838s,130,1.478811954s,1.060092686s,1.147388539s,1.9261171997279662s
1.045941925s,131,1.430842519s,1.311367165s,1.118250283s,1.254815271679671s
1.471516896s,132,1.481563976s,1.455168197s,1.101491538s,1.0866679734015334s
1.08433668s,133,1.443948906s,1.477691455s,1.373685762s,1.9582111433736116s
1.392699066s,134,1.394360268s,1.315744835s,1.280358546s,1.1411634319955914s
1.095938691s,135,1.107968363s,1.12311314s,1.283655898s,1.5915283044221415s
1.476975727s,136,1.138997945s,1.430031608s,1.309589308s,1.3601373399219758s
1.049628737s,137,1.376489759s,1.418536026s,1.016145566s,1.8179031257308866s
1.174518459s,138,1.040447079s,1.312548223s,1.358257169s,1.30134301199285s
1.339798691s,139,1.058341592s,1.214538477s,1.290040489s,1.2451785306013616s
1.452420326s,140,1.094600827s,1.24482419s,1.089035599s,1.4885479911514852s
1.322302695s,141,1.252288176s,1.288738009s,1.422315114s,1.4826461695498898s
1.269697075s,142,1.15158116s,1.493581282s,1.372371401s,1.7889319396852439s
1.458402951s,143,1.474588265s,1.241964348s,1.217233633s,1.0752433554763752s
1.32478268s,144,1.118388672s,1.186945767s,1.414793471s,1.8406873821826086s
1.464362272s,145,1.151595885s,1.424513959s,1.113066377s,1.8347978740221205s
1.258680623s,146,1.255687886s,1.218957044s,1.30322976s,1.369031804850529s
1.208130003s,147,1.380093907s,1.138037913s,1.104473382s,1.6535190524783614s
1.315912282s,148,1.056372857s,1.493571431s,1.200102303s,1.5603263233210354s
