time,committee,daon,decentruth,seenfeed,deepthought
1,0.0,0.0,0.0,0.0,0
6,0.0,0.0,0.0,0.0,0
11,0.0,0.0,0.0,0.0,0
16,120.0,30.0,10.0,10.0,0
21,120.0,30.0,10.0,10.0,0
26,202.0,70.0,10.0,10.0,0
31,290.0,70.0,20.0,30.0,10
36,290.0,70.0,20.0,30.0,10
41,460.0,110.0,30.0,50.0,10
46,460.0,110.0,30.0,50.0,10
51,578.0,110.0,40.0,63.0,10
56,620.0,154.0,40.0,63.0,18
61,620.0,154.0,40.0,63.0,20
66,792.0,200.0,58.0,80.0,20
71,792.0,200.0,58.0,80.0,20
76,906.0,200.0,70.0,80.0,20
81,946.0,240.0,70.0,100.0,23
86,946.0,240.0,70.0,100.0,30
91,1110.0,280.0,80.0,120.0,30
96,1110.0,280.0,80.0,120.0,30
101,1278.0,280.0,90.0,120.0,30
106,1278.0,320.0,90.0,140.0,30
111,1308.0,320.0,100.0,140.0,40
116,1433.0,360.0,103.0,160.0,40
121,1433.0,360.0,103.0,160.0,40
126,1560.0,360.0,120.0,160.0,40
131,1610.0,400.0,120.0,170.0,40
136,1610.0,400.0,130.0,170.0,46
141,1768.0,440.0,130.0,190.0,50
146,1768.0,440.0,130.0,190.0,50
151,1886.0,480.0,140.0,190.0,50
156,1931.0,480.0,140.0,210.0,50
161,1931.0,480.0,150.0,210.0,51
166,2110.0,521.0,150.0,230.0,60
171,2110.0,521.0,160.0,230.0,60
176,2188.0,521.0,160.0,230.0,60
181,2268.0,570.0,160.0,250.0,60
186,2333.0,570.0,179.0,250.0,60
191,2413.0,610.0,179.0,260.0,67
196,2413.0,610.0,190.0,260.0,70
201,2540.0,610.0,190.0,260.0,70
206,2589.0,657.0,190.0,280.0,70
211,2629.0,657.0,200.0,280.0,70
216,2760.0,693.0,200.0,300.0,70
221,2760.0,693.0,210.0,300.0,80
226,2840.0,693.0,210.0,300.0,80
231,2923.0,732.0,224.0,320.0,80
236,2923.0,732.0,228.0,320.0,80
241,3089.0,780.0,228.0,339.0,80
246,3089.0,780.0,240.0,339.0,88
251,3183.0,784.0,240.0,346.0,90
256,3267.0,816.0,240.0,351.0,90
261,3305.0,816.0,250.0,351.0,90
266,3386.0,851.0,250.0,370.0,90
271,3429.0,851.0,260.0,370.0,92
276,3514.0,899.0,260.0,370.0,100
281,3596.0,899.0,260.0,390.0,100
286,3596.0,899.0,274.0,390.0,100
291,3729.0,932.0,274.0,410.0,100
296,3769.0,932.0,289.0,410.0,100
301,3769.0,979.0,289.0,412.0,110
306,3930.0,979.0,289.0,430.0,110
311,3930.0,989.0,300.0,430.0,110
316,4081.0,1017.0,300.0,447.0,110
321,4090.0,1017.0,310.0,447.0,110
326,4170.0,1050.0,310.0,447.0,116
331,4268.0,1050.0,310.0,460.0,120
336,4268.0,1050.0,326.0,460.0,120
341,4393.0,1100.0,326.0,480.0,120
346,4433.0,1100.0,340.0,480.0,120
351,4541.0,1140.0,340.0,499.0,120
356,4587.0,1140.0,340.0,500.0,130
361,4587.0,1140.0,350.0,500.0,130
366,4709.0,1190.0,350.0,520.0,130
371,4749.0,1190.0,360.0,520.0,130
376,4864.0,1190.0,360.0,530.0,130
381,4904.0,1230.0,360.0,530.0,140
386,4904.0,1230.0,380.0,530.0,140
391,5070.0,1280.0,380.0,551.0,140
396,5070.0,1280.0,390.0,551.0,140
401,5157.0,1280.0,390.0,551.0,140
406,5237.0,1320.0,390.0,570.0,146
411,5277.0,1320.0,400.0,570.0,150
416,5390.0,1360.0,400.0,590.0,150
421,5390.0,1360.0,410.0,590.0,150
426,5509.0,1360.0,410.0,590.0,150
431,5550.0,1409.0,410.0,610.0,150
436,5550.0,1409.0,430.0,610.0,160
441,5681.0,1409.0,430.0,630.0,160
446,5730.0,1450.0,430.0,630.0,160
451,5805.0,1450.0,440.0,630.0,160
456,5887.0,1491.0,440.0,645.0,160
461,5887.0,1491.0,455.0,645.0,164
466,6050.0,1491.0,455.0,660.0,170
471,6050.0,1530.0,455.0,660.0,170
476,6137.0,1530.0,470.0,680.0,170
481,6227.0,1570.0,470.0,680.0,170
486,6227.0,1570.0,480.0,680.0,170
491,6383.0,1610.0,480.0,700.0,180
496,6383.0,1610.0,480.0,700.0,180
501,6508.0,1610.0,497.0,720.0,180
506,6548.0,1650.0,497.0,720.0,180
