time,committee,daon,decentruth,seenfeed,deepthought
1,500.0,500.0,500.0,500.0,500
6,1000.0,1000.0,1000.0,1000.0,1000
11,1500.0,1500.0,1500.0,1500.0,1500
16,1880.0,1970.0,1990.0,1990.0,2000
21,2380.0,2470.0,2490.0,2490.0,2500
26,2798.0,2930.0,2990.0,2990.0,3000
31,3210.0,3430.0,3480.0,3470.0,3490
36,3710.0,3930.0,3980.0,3970.0,3990
41,4040.0,4390.0,4470.0,4450.0,4490
46,4540.0,4890.0,4970.0,4950.0,4990
51,4922.0,5390.0,5460.0,5437.0,5490
56,5380.0,5846.0,5960.0,5937.0,5982
61,5880.0,6346.0,6460.0,6437.0,6480
66,6208.0,6800.0,6942.0,6920.0,6980
71,6708.0,7300.0,7442.0,7420.0,7480
76,7094.0,7800.0,7930.0,7920.0,7980
81,7554.0,8260.0,8430.0,8400.0,8477
86,8054.0,8760.0,8930.0,8900.0,8970
91,8390.0,9220.0,9420.0,9380.0,9470
96,8890.0,9720.0,9920.0,9880.0,9970
101,9222.0,10220.0,10410.0,10380.0,10470
106,9722.0,10680.0,10910.0,10860.0,10970
111,10192.0,11180.0,11400.0,11360.0,11460
116,10567.0,11640.0,11897.0,11840.0,11960
121,11067.0,12140.0,12397.0,12340.0,12460
126,11440.0,12640.0,12880.0,12840.0,12960
131,11890.0,13100.0,13380.0,13330.0,13460
136,12390.0,13600.0,13870.0,13830.0,13954
141,12732.0,14060.0,14370.0,14310.0,14450
146,13232.0,14560.0,14870.0,14810.0,14950
151,13614.0,15020.0,15360.0,15310.0,15450
156,14069.0,15520.0,15860.0,15790.0,15950
161,14569.0,16020.0,16350.0,16290.0,16449
166,14890.0,16479.0,16850.0,16770.0,16940
171,15390.0,16979.0,17340.0,17270.0,17440
176,15812.0,17479.0,17840.0,17770.0,17940
181,16232.0,17930.0,18340.0,18250.0,18440
186,16667.0,18430.0,18821.0,18750.0,18940
191,17087.0,18890.0,19321.0,19240.0,19433
196,17587.0,19390.0,19810.0,19740.0,19930
201,17460.0,19390.0,19810.0,19740.0,19930
206,17411.0,19343.0,19810.0,19720.0,19930
211,17371.0,19343.0,19800.0,19720.0,19930
216,17240.0,19307.0,19800.0,19700.0,19930
221,17240.0,19307.0,19790.0,19700.0,19920
226,17160.0,19307.0,19790.0,19700.0,19920
231,17077.0,19268.0,19776.0,19680.0,19920
236,17077.0,19268.0,19772.0,19680.0,19920
241,16911.0,19220.0,19772.0,19661.0,19920
246,16911.0,19220.0,19760.0,19661.0,19912
251,16817.0,19216.0,19760.0,19654.0,19910
256,16733.0,19184.0,19760.0,19649.0,19910
261,16695.0,19184.0,19750.0,19649.0,19910
266,16614.0,19149.0,19750.0,19630.0,19910
271,16571.0,19149.0,19740.0,19630.0,19908
276,16486.0,19101.0,19740.0,19630.0,19900
281,16404.0,19101.0,19740.0,19610.0,19900
286,16404.0,19101.0,19726.0,19610.0,19900
291,16271.0,19068.0,19726.0,19590.0,19900
296,16231.0,19068.0,19711.0,19590.0,19900
301,16231.0,19021.0,19711.0,19588.0,19890
306,16070.0,19021.0,19711.0,19570.0,19890
311,16070.0,19011.0,19700.0,19570.0,19890
316,15919.0,18983.0,19700.0,19553.0,19890
321,15910.0,18983.0,19690.0,19553.0,19890
326,15830.0,18950.0,19690.0,19553.0,19884
331,15732.0,18950.0,19690.0,19540.0,19880
336,15732.0,18950.0,19674.0,19540.0,19880
341,15607.0,18900.0,19674.0,19520.0,19880
346,15567.0,18900.0,19660.0,19520.0,19880
351,15459.0,18860.0,19660.0,19501.0,19880
356,15413.0,18860.0,19660.0,19500.0,19870
361,15413.0,18860.0,19650.0,19500.0,19870
366,15291.0,18810.0,19650.0,19480.0,19870
371,15251.0,18810.0,19640.0,19480.0,19870
376,15136.0,18810.0,19640.0,19470.0,19870
381,15096.0,18770.0,19640.0,19470.0,19860
386,15096.0,18770.0,19620.0,19470.0,19860
391,14930.0,18720.0,19620.0,19449.0,19860
396,14930.0,18720.0,19610.0,19449.0,19860
401,14843.0,18720.0,19610.0,19449.0,19860
406,14763.0,18680.0,19610.0,19430.0,19854
411,14723.0,18680.0,19600.0,19430.0,19850
416,14610.0,18640.0,19600.0,19410.0,19850
421,14610.0,18640.0,19590.0,19410.0,19850
426,14491.0,18640.0,19590.0,19410.0,19850
431,14450.0,18591.0,19590.0,19390.0,19850
436,14450.0,18591.0,19570.0,19390.0,19840
441,14319.0,18591.0,19570.0,19370.0,19840
446,14270.0,18550.0,19570.0,19370.0,19840
451,14195.0,18550.0,19560.0,19370.0,19840
456,14113.0,18509.0,19560.0,19355.0,19840
461,14113.0,18509.0,19545.0,19355.0,19836
466,13950.0,18509.0,19545.0,19340.0,19830
471,13950.0,18470.0,19545.0,19340.0,19830
476,13863.0,18470.0,19530.0,19320.0,19830
481,13773.0,18430.0,19530.0,19320.0,19830
486,13773.0,18430.0,19520.0,19320.0,19830
491,13617.0,18390.0,19520.0,19300.0,19820
496,13617.0,18390.0,19520.0,19300.0,19820
501,13492.0,18390.0,19503.0,19280.0,19820
506,13452.0,18350.0,19503.0,19280.0,19820
511,13452.0,18350.0,19490.0,19280.0,19820
516,13280.0,18301.0,19490.0,19263.0,19812
521,13280.0,18300.0,19490.0,19263.0,19810
526,13196.0,18300.0,19480.0,19263.0,19810
531,13110.0,18260.0,19480.0,19245.0,19810
536,13110.0,18260.0,19470.0,19245.0,19810
541,12942.0,18260.0,19470.0,19230.0,19810
546,12942.0,18220.0,19470.0,19230.0,19800
551,12900.0,18220.0,19460.0,19230.0,19800
556,12764.0,18173.0,19460.0,19210.0,19800
561,12764.0,18173.0,19444.0,19210.0,19800
566,12647.0,18173.0,19444.0,19210.0,19800
571,12607.0,18130.0,19430.0,19190.0,19791
576,12567.0,18130.0,19430.0,19190.0,19790
581,12448.0,18090.0,19430.0,19170.0,19790
586,12448.0,18090.0,19420.0,19170.0,19790
591,12281.0,18090.0,19420.0,19170.0,19790
596,12281.0,18049.0,19410.0,19150.0,19787
601,12241.0,18049.0,19410.0,19150.0,19780
606,12119.0,18010.0,19410.0,19130.0,19780
611,12119.0,18010.0,19400.0,19130.0,19780
616,12007.0,18010.0,19400.0,19130.0,19780
621,11963.0,17970.0,19380.0,19111.0,19780
626,11883.0,17970.0,19380.0,19111.0,19770
631,11800.0,17930.0,19380.0,19100.0,19770
636,11800.0,17930.0,19370.0,19100.0,19770
641,11679.0,17930.0,19370.0,19100.0,19770
646,11639.0,17890.0,19360.0,19080.0,19770
651,11560.0,17890.0,19360.0,19080.0,19766
656,11477.0,17850.0,19360.0,19060.0,19760
661,11477.0,17850.0,19350.0,19060.0,19760
666,11347.0,17850.0,19350.0,19060.0,19760
671,11300.0,17800.0,19330.0,19040.0,19760
676,11220.0,17800.0,19330.0,19040.0,19760
681,11140.0,17800.0,19330.0,19020.0,19750
686,11100.0,17760.0,19320.0,19020.0,19750
691,11020.0,17760.0,19320.0,19020.0,19750
696,10980.0,17720.0,19310.0,19006.0,19750
701,10900.0,17720.0,19310.0,19006.0,19750
706,10860.0,17680.0,19310.0,18990.0,19741
711,10779.0,17680.0,19291.0,18990.0,19740
716,10699.0,17680.0,19291.0,18990.0,19740
721,10611.0,17633.0,19291.0,18970.0,19740
726,10571.0,17633.0,19280.0,18970.0,19740
731,10531.0,17633.0,19280.0,18950.0,19737
736,10412.0,17590.0,19270.0,18950.0,19730
741,10372.0,17590.0,19270.0,18950.0,19730
746,10305.0,17550.0,19260.0,18930.0,19730
751,10265.0,17550.0,19260.0,18930.0,19730
756,10189.0,17510.0,19260.0,18911.0,19730
761,10119.0,17510.0,19241.0,18911.0,19720
766,10061.0,17510.0,19241.0,18911.0,19720
771,9970.0,17470.0,19230.0,18893.0,19720
776,9927.0,17470.0,19230.0,18893.0,19720
781,9844.0,17470.0,19230.0,18880.0,19720
786,9804.0,17426.0,19220.0,18880.0,19710
791,9711.0,17426.0,19220.0,18880.0,19710
796,9630.0,17390.0,19210.0,18860.0,19710
801,9590.0,17390.0,19210.0,18860.0,19710
806,9510.0,17390.0,19199.0,18860.0,19710
811,9423.0,17342.0,19198.0,18840.0,19703
816,9383.0,17342.0,19198.0,18840.0,19700
821,9300.0,17309.0,19180.0,18820.0,19700
826,9260.0,17309.0,19180.0,18820.0,19700
831,9180.0,17270.0,19170.0,18820.0,19700
836,9100.0,17266.0,19170.0,18800.0,19698
841,9060.0,17266.0,19170.0,18800.0,19690
846,8980.0,17221.0,19160.0,18781.0,19690
851,8940.0,17221.0,19160.0,18781.0,19690
856,8860.0,17221.0,19147.0,18781.0,19690
861,8780.0,17180.0,19147.0,18770.0,19690
866,8740.0,17180.0,19147.0,18770.0,19680
871,8661.0,17140.0,19130.0,18770.0,19680
876,8613.0,17140.0,19130.0,18750.0,19680
881,8540.0,17140.0,19130.0,18750.0,19680
