time,committee,daon,decentruth,seenfeed,deepthought
1,200.0,200.0,200.0,200.0,250
6,400.0,400.0,400.0,400.0,500
11,600.0,600.0,600.0,600.0,750
16,800.0,800.0,800.0,800.0,1000
21,1000.0,1000.0,1000.0,1000.0,1250
26,1200.0,1200.0,1200.0,1200.0,1500
31,1400.0,1400.0,1400.0,1400.0,1750
36,1600.0,1600.0,1600.0,1600.0,2000
41,1800.0,1800.0,1800.0,1800.0,2250
46,2000.0,2000.0,2000.0,2000.0,2500
51,2200.0,2200.0,2200.0,2200.0,2750
56,2400.0,2400.0,2400.0,2400.0,3000
61,2600.0,2600.0,2600.0,2600.0,3250
66,2800.0,2800.0,2800.0,2800.0,3500
71,3000.0,3000.0,3000.0,3000.0,3750
76,3200.0,3200.0,3200.0,3200.0,4000
81,3400.0,3400.0,3400.0,3400.0,4250
86,3600.0,3600.0,3600.0,3600.0,4500
91,3800.0,3800.0,3800.0,3800.0,4750
96,4000.0,4000.0,4000.0,4000.0,5000
101,4200.0,4200.0,4200.0,4200.0,5250
106,4400.0,4400.0,4400.0,4400.0,5500
111,4600.0,4600.0,4600.0,4600.0,5750
116,4800.0,4800.0,4800.0,4800.0,6000
121,5000.0,5000.0,5000.0,5000.0,6250
126,5200.0,5200.0,5200.0,5200.0,6500
131,5400.0,5400.0,5400.0,5400.0,6750
136,5600.0,5600.0,5600.0,5600.0,7000
141,5800.0,5800.0,5800.0,5800.0,7250
146,6000.0,6000.0,6000.0,6000.0,7500
151,6200.0,6200.0,6200.0,6200.0,7750
156,6400.0,6400.0,6400.0,6400.0,8000
161,6600.0,6600.0,6600.0,6600.0,8250
166,6800.0,6800.0,6800.0,6800.0,8500
171,7000.0,7000.0,7000.0,7000.0,8750
176,7200.0,7200.0,7200.0,7200.0,9000
181,7400.0,7400.0,7400.0,7400.0,9250
186,7600.0,7600.0,7600.0,7600.0,9500
191,7800.0,7800.0,7800.0,7800.0,9750
196,8000.0,8000.0,8000.0,8000.0,10000
201,8200.0,8200.0,8200.0,8200.0,10250
206,8400.0,8400.0,8400.0,8400.0,10500
211,8600.0,8600.0,8600.0,8600.0,10750
216,8800.0,8800.0,8800.0,8800.0,11000
221,9000.0,9000.0,9000.0,9000.0,11250
226,9200.0,9200.0,9200.0,9200.0,11500
231,9400.0,9400.0,9400.0,9400.0,11750
236,9600.0,9600.0,9600.0,9600.0,12000
241,9800.0,9800.0,9800.0,9800.0,12250
246,10000.0,10000.0,10000.0,10000.0,12500
251,10200.0,10200.0,10200.0,10200.0,12750
256,10400.0,10400.0,10400.0,10400.0,13000
261,10600.0,10600.0,10600.0,10600.0,13250
266,10800.0,10800.0,10800.0,10800.0,13500
271,11000.0,11000.0,11000.0,11000.0,13750
276,11200.0,11200.0,11200.0,11200.0,14000
281,11400.0,11400.0,11400.0,11400.0,14250
286,11600.0,11600.0,11600.0,11600.0,14500
291,11800.0,11800.0,11800.0,11800.0,14750
296,12000.0,12000.0,12000.0,12000.0,15000
301,12200.0,12200.0,12200.0,12200.0,15250
306,12400.0,12400.0,12400.0,12400.0,15500
311,12600.0,12600.0,12600.0,12600.0,15750
316,12800.0,12800.0,12800.0,12800.0,16000
321,13000.0,13000.0,13000.0,13000.0,16250
326,13200.0,13200.0,13200.0,13200.0,16500
331,13400.0,13400.0,13400.0,13400.0,16750
336,13600.0,13600.0,13600.0,13600.0,17000
341,13800.0,13800.0,13800.0,13800.0,17250
346,14000.0,14000.0,14000.0,14000.0,17500
351,14200.0,14200.0,14200.0,14200.0,17750
356,14400.0,14400.0,14400.0,14400.0,18000
361,14600.0,14600.0,14600.0,14600.0,18250
366,14800.0,14800.0,14800.0,14800.0,18500
