consensusTime,searchTime,onChainTime,seqId,roundId,comId
2.66882617s,1.151170192s,905.368137ms,7063,0,2
2.955843079s,1.469188907s,9.858191471s,6935,0,2
2.964557334s,1.426790055s,34.234074663s,6631,0,2
2.620750325s,1.230739551s,7.241810902s,6995,0,2
2.472827996s,1.023073399s,1.105700121s,7059,0,2
2.922467811s,1.123231393s,6.940191152s,6979,0,2
2.657932038s,1.224926385s,3.924330411s,7039,0,2
2.582645335s,1.452002042s,1.005254935s,7047,0,2
2.68447922s,1.263356383s,904.856381ms,7067,0,2
2.666671515s,1.080048006s,3.923391074s,7027,0,2
2.780972907s,1.160495015s,1m4.701939973s,6227,0,2
2.573834995s,1.457024671s,2m39.124803165s,4971,0,2
2.382687155s,1.037803805s,6m9.172445936s,2231,0,2
2.489148598s,1.088132738s,2m47.910307894s,4871,0,2
2.703170196s,1.150320002s,5m14.359908404s,2959,0,2
2.546782879s,1.011278734s,7m24.779372505s,1231,0,2
2.718906909s,1.361929813s,2m15.283976537s,5311,0,2
2.372187393s,1.140505359s,5m26.552667414s,2787,0,2
2.302059437s,1.094006078s,4m59.438904844s,3155,0,2
2.166077211s,1.030399569s,7m40.314175713s,1003,0,2
3.124432081s,1.468785948s,3m42.370346534s,4123,0,2
2.536710625s,1.197171043s,8m22.404698061s,467,0,2
2.632462294s,1.460751507s,5m23.222779711s,2815,0,2
2.429247615s,1.148868466s,1m57.010890499s,5527,0,2
2.295857889s,1.227383731s,25.475144906s,6743,0,2
2.622514907s,1.425383518s,31.453793295s,6655,0,2
3.153207519s,1.418967417s,34.075873982s,6611,0,2
2.560933181s,1.27459418s,3m12.38033636s,4523,0,2
2.365564356s,1.047672982s,8m44.423591171s,191,0,2
2.305130039s,1.183098335s,5m8.613252839s,3035,0,2
2.475650223s,1.213032002s,1m47.765264133s,5671,0,2
2.55949211s,1.121880606s,1m38.552912541s,5775,0,2
2.818254175s,1.376848139s,1m26.182800704s,5947,0,2
2.41360508s,1.089605823s,1m47.828824024s,5667,0,2
2.821612989s,1.077680383s,3m57.478482456s,3959,0,2
2.653124443s,1.49366819s,1m59.908726053s,5487,0,2
2.160745809s,1.053268627s,8m19.749753087s,483,0,2
2.884055251s,1.442881658s,6m5.401912393s,2271,0,2
2.413881953s,1.110103276s,7m3.181424464s,1491,0,2
2.491024442s,1.41952057s,8m44.298204388s,163,0,2
2.894445901s,1.417164392s,24.875105598s,6739,0,2
2.777800209s,1.437332144s,55.470099028s,6331,0,2
2.529333743s,1.177600401s,3m27.522456767s,4351,0,2
2.888283395s,1.482857514s,6m45.198179921s,1751,0,2
2.789135403s,1.279197522s,1m44.408555573s,5707,0,2
2.576604233s,1.47214039s,4m16.611035067s,3711,0,2
2.476013874s,1.124598963s,46.634226254s,6479,0,2
2.345315815s,1.070165209s,8m13.281080402s,579,0,2
2.389822741s,1.044730681s,3m18.43791316s,4459,0,2
2.287143566s,1.24144194s,7m0.494619203s,1531,0,2
2.677097568s,1.052295517s,5m47.287582026s,2495,0,2
2.064620305s,1.016019537s,35.166379089s,6615,0,2
2.77674908s,1.353882921s,8m16.055365637s,551,0,2
2.365087937s,1.147587653s,1m35.754891734s,5815,0,2
2.719445419s,1.200557138s,6m20.911372093s,2079,0,2
2.819050538s,1.110206152s,43.353238743s,6483,0,2
2.980783592s,1.340040529s,3m39.394610998s,4163,0,2
2.615113707s,1.402025534s,52.502598774s,6379,0,2
2.905221146s,1.398154382s,7m51.571661112s,875,0,2
2.919412816s,1.256427889s,6m20.711113358s,2051,0,2
3.143273939s,1.419798586s,6m2.255894037s,2311,0,2
2.292171021s,1.20808716s,7m49.239689302s,887,0,2
2.767708304s,1.481316639s,3m45.740374814s,4095,0,2
2.660524176s,1.340359003s,8m56.518743163s,7,0,2
2.854866698s,1.389688078s,2m59.614838249s,4703,0,2
2.677434543s,1.280871005s,3.924850122s,7023,0,2
3.013348337s,1.268514016s,8m18.896381959s,515,0,2
2.710396999s,1.342002796s,3m12.228623434s,4539,0,2
3.083088452s,1.295288089s,7m57.415537133s,767,0,2
3.006579775s,1.403625903s,6m26.769309279s,1963,0,2
2.583363644s,1.315981565s,8m4.009928654s,691,0,2
2.811593109s,1.057001775s,7m12.214879398s,1375,0,2
2.809396189s,1.176518963s,5m2.0602949s,3115,0,2
2.778996448s,1.438753525s,7m27.773407813s,1167,0,2
2.174681735s,1.099725196s,8m44.612361706s,199,0,2
3.02914041s,1.386667845s,4m3.702727694s,3843,0,2
2.349826865s,1.014219169s,7m58.149059715s,783,0,2
2.327334167s,1.034330457s,6m33.349783115s,1915,0,2
2.262908654s,1.068513427s,1m14.595346518s,6107,0,2
2.558998962s,1.323899012s,6m54.264875359s,1635,0,2
2.620208001s,1.298527502s,7m45.891397237s,951,0,2
2.519756346s,1.156823489s,3m2.973080137s,4643,0,2
2.400296563s,1.111768551s,6m12.321533836s,2163,0,2
2.696056974s,1.399431721s,6m17.93845952s,2083,0,2
2.668165811s,1.234467458s,2m27.066315084s,5131,0,2
2.891492345s,1.426905252s,1m50.452020765s,5615,0,2
2.1262147s,1.064079854s,3m52.405841914s,4007,0,2
2.724057116s,1.028485456s,8m0.835224228s,727,0,2
2.507825075s,1.233248022s,8m53.805737584s,63,0,2
2.270679784s,1.16404994s,7m55.012746281s,807,0,2
2.196004576s,1.011811569s,5m35.860640101s,2643,0,2
2.708499494s,1.485128792s,5m59.358289126s,2335,0,2
2.831808656s,1.345346737s,3m33.675872337s,4263,0,2
2.771642781s,1.162937287s,2m53.689509127s,4783,0,2
2.367371672s,1.018098674s,2m42.346236075s,4951,0,2
2.263073338s,1.048209912s,3m12.673607677s,4559,0,2
2.656867331s,1.420355136s,7m0.126254985s,1559,0,2
3.027216858s,1.357186217s,8m27.802732801s,391,0,2
2.738259982s,1.190133731s,2m30.159073295s,5091,0,2
2.598892954s,1.045224426s,3m39.775917053s,4187,0,2
3.330363048s,1.460121066s,6m2.07103113s,2295,0,2
2.913903222s,1.315089242s,4m3.819617593s,3859,0,2
2.632492032s,1.204383444s,1m29.402238405s,5887,0,2
2.681129197s,1.405591888s,2m24.184862078s,5163,0,2
2.35516124s,1.002007228s,6m30.433264002s,1927,0,2
2.430728024s,1.077508157s,5m59.640377091s,2351,0,2
2.909283589s,1.180001891s,7m36.500179523s,1071,0,2
2.367814404s,1.280760456s,2m24.498236736s,5191,0,2
