consensusTime,searchTime,onChainTime,seqId,roundId,comId
2.958729181s,1.222617083s,4.424093469s,20,4,0
2.62714489s,1.094011527s,7.949295499s,2,4,0
2.516343753s,1.067817345s,1.913233152s,21,4,0
2.620506734s,1.19902516s,1.812798772s,24,4,0
2.521779789s,1.189088255s,1.911725012s,30,4,0
2.534042659s,1.278324206s,8.053127232s,10,4,0
2.751563432s,1.3735955s,7.849145848s,4,4,0
2.349637039s,1.053436615s,8.25104145s,3,4,0
2.55038741s,1.018118257s,8.050441232s,9,4,0
2.741984525s,1.081009795s,1.709904991s,26,4,0
2.241242194s,1.202349001s,2.214225012s,29,4,0
2.788614882s,1.200556333s,4.627044545s,16,4,0
2.284059751s,1.200570767s,5.131637377s,18,4,0
2.64790493s,1.059854904s,1.812744793s,23,4,0
2.551384751s,1.122627036s,1.909651166s,22,4,0
2.668917888s,1.414176315s,7.944477753s,8,4,0
2.292934045s,1.202892046s,5.128300223s,17,4,0
2.697113858s,1.371017549s,4.724154797s,13,4,0
2.686648989s,1.152190559s,7.946126196s,7,4,0
2.912674327s,1.427069064s,4.526557062s,11,4,0
2.771524719s,1.136928603s,1.709374635s,27,4,0
3.193455681s,1.300260338s,7.439821066s,1,4,0
2.516220754s,1.299590185s,4.928052748s,14,4,0
2.422164368s,1.102792783s,5.029206021s,15,4,0
2.702126603s,1.334188008s,7.948798437s,6,4,0
2.738087441s,1.408275574s,4.725208552s,12,4,0
3.201343361s,1.40324057s,1.309427608s,28,4,0
2.546708613s,1.130238501s,4.92575569s,19,4,0
2.304250706s,1.061063302s,2.214668155s,25,4,0
2.218568975s,1.0424637s,8.45270263s,5,4,0
2.486048553s,1.159508103s,10.866276925s,32,8,0
2.538526997s,1.189910974s,2.214925647s,61,8,0
2.642224248s,1.294974439s,2.114905328s,65,8,0
2.687992367s,1.045956028s,7.953174592s,41,8,0
3.148677071s,1.37119673s,1.611253136s,62,8,0
2.599778038s,1.192754226s,10.766308696s,39,8,0
2.559017637s,1.353612952s,5.232441431s,56,8,0
2.753055734s,1.377119504s,2.013166159s,66,8,0
2.564508077s,1.156292476s,5.231954309s,60,8,0
2.361719858s,1.272634107s,5.434730637s,51,8,0
2.502929432s,1.161718359s,8.150788639s,46,8,0
2.567790842s,1.00570962s,5.232243929s,52,8,0
2.560649575s,1.185511203s,2.213091728s,64,8,0
2.72105956s,1.380489269s,10.661080646s,38,8,0
2.411249782s,1.194914388s,10.977153329s,37,8,0
2.788357427s,1.3430151s,5.0324119s,57,8,0
2.635685891s,1.187295846s,10.759925316s,33,8,0
2.993744388s,1.43607306s,4.827001473s,58,8,0
2.828218928s,1.110053535s,7.84646376s,50,8,0
2.791406498s,1.246335829s,2.011902501s,68,8,0
2.638940615s,1.26164697s,8.047136671s,44,8,0
2.540430018s,1.286960607s,8.145766449s,42,8,0
2.843743151s,1.284786279s,7.847753298s,43,8,0
2.844929212s,1.299032621s,7.846686773s,48,8,0
2.643288207s,1.236429164s,8.048292283s,47,8,0
2.555728338s,1.275647615s,10.862004572s,31,8,0
2.853719135s,1.467855728s,7.842862985s,49,8,0
2.30717498s,1.106084897s,5.535852176s,59,8,0
2.561298289s,1.493539386s,10.856714229s,40,8,0
2.356506314s,1.02380987s,11.061450282s,35,8,0
2.552314747s,1.168421987s,10.865627697s,36,8,0
2.702714652s,1.376016505s,2.111826392s,70,8,0
2.507210362s,1.264920194s,2.313205755s,63,8,0
3.028679557s,1.493021487s,4.828490676s,55,8,0
2.529631631s,1.251631522s,5.332371977s,53,8,0
2.734971193s,1.327656236s,5.127092933s,54,8,0
2.821334026s,1.481244914s,2.01347605s,69,8,0
2.680690299s,1.038298715s,10.76349774s,34,8,0
2.47362041s,1.272554912s,8.249488452s,45,8,0
2.8300806s,1.248509095s,2.013108882s,67,8,0
2.935711545s,1.281588173s,10.35799006s,78,12,0
2.434737502s,1.321792451s,10.860419573s,79,12,0
2.424136708s,1.222055228s,7.643670356s,88,12,0
2.822764258s,1.329937427s,7.245005212s,81,12,0
