consensusTime,searchTime,onChainTime,seqId,roundId,comId
2.718445023s,1.38551508s,5m49.382308051s,810,0,0
2.409774364s,1.024878091s,5m37.941491574s,849,0,0
2.895745741s,1.470278099s,4m24.840383471s,1084,0,0
2.239206327s,1.138957553s,20.837724321s,1896,0,0
2.631079668s,1.257700057s,7m26.708804158s,487,0,0
2.536431431s,1.25158204s,41.165195017s,1827,0,0
2.615760439s,1.036552276s,7m42.091714606s,437,0,0
2.238508407s,1.145105531s,1m49.421021107s,1610,0,0
2.743231951s,1.434699967s,7m14.664549557s,524,0,0
2.559556943s,1.160586891s,3m37.121970988s,1241,0,0
2.419050177s,1.167445724s,5m43.662134461s,821,0,0
2.723390389s,1.49570427s,29.393406s,1867,0,0
2.527939651s,1.365177111s,4m16.066654433s,1119,0,0
2.803471988s,1.479016202s,4m59.119334156s,973,0,0
2.742080127s,1.349696139s,4m43.494232211s,1028,0,0
2.855827649s,1.430076825s,5m23.093574932s,896,0,0
2.7607484s,1.292231865s,4m10.026795186s,1136,0,0
2.412744828s,1.053510294s,5m52.609774225s,796,0,0
2.430835714s,1.215808357s,9m51.254667158s,14,0,0
3.243259743s,1.346029829s,8m9.5127278s,344,0,0
2.594824759s,1.237839527s,6m23.039529315s,698,0,0
2.681851501s,1.093692342s,3m18.510368775s,1306,0,0
2.761986462s,1.405763893s,8m9.996512306s,342,0,0
2.458777543s,1.253291504s,3m21.924817789s,1295,0,0
2.486280684s,1.277698641s,11.47740449s,1926,0,0
2.189032927s,1.039035695s,7m51.671142782s,408,0,0
2.672954251s,1.29005231s,2m33.83288305s,1456,0,0
2.499926113s,1.182848562s,4m53.317305989s,999,0,0
2.800370765s,1.28327645s,9m53.80802163s,4,0,0
2.955705296s,1.448336557s,3m0.580209249s,1370,0,0
2.868186592s,1.359403656s,8m49.829749813s,212,0,0
2.177311476s,1.055505641s,1m37.030990123s,1648,0,0
2.94689365s,1.425731841s,1m30.01224627s,1666,0,0
2.934575495s,1.168874235s,7m26.405503791s,482,0,0
2.23645382s,1.034361591s,4m53.580189567s,992,0,0
2.4871357s,1.311606977s,6m38.275037812s,648,0,0
2.598933586s,1.2986607s,3m18.594924764s,1302,0,0
2.619013178s,1.06003024s,7m51.238266972s,404,0,0
2.779714789s,1.30970464s,7m11.410636006s,537,0,0
2.829885469s,1.322793162s,3m12.598944642s,1328,0,0
2.335111461s,1.217982419s,3m1.200459431s,1364,0,0
2.406875548s,1.271886886s,8.657460849s,1939,0,0
2.28886279s,1.038744861s,7m18.081419015s,520,0,0
2.328285527s,1.025002702s,9m20.725002807s,120,0,0
2.322552191s,1.201507082s,7m36.276383763s,460,0,0
2.980521403s,1.467076845s,4m31.077351175s,1064,0,0
2.573081203s,1.383603159s,9m54.037570288s,5,0,0
3.010045416s,1.464778851s,8m6.502883295s,357,0,0
2.82764886s,1.492847809s,7m35.771050816s,457,0,0
2.651190622s,1.047843554s,6m16.539200414s,717,0,0
2.380767038s,1.08641558s,7m45.320613559s,421,0,0
2.76182576s,1.415831488s,4m3.830230589s,1158,0,0
2.502350511s,1.151255663s,3m55.349292175s,1190,0,0
2.963059563s,1.452334634s,2m36.543747617s,1445,0,0
2.25302133s,1.035855937s,6m53.731941801s,596,0,0
2.749704281s,1.100304684s,5m37.603989313s,844,0,0
3.18035156s,1.439225818s,4m9.604574537s,1131,0,0
2.407761815s,1.086652534s,2m58.067104584s,1376,0,0
2.916640833s,1.32728574s,4m0.871432955s,1165,0,0
2.59897313s,1.100669052s,3m55.25236099s,1185,0,0
2.615723899s,1.354089005s,1m42.894382582s,1623,0,0
2.770100354s,1.418647937s,2m33.735097107s,1457,0,0
3.133274114s,1.486640841s,8m49.564073481s,213,0,0
2.656862699s,1.195534008s,9m42.283995714s,43,0,0
