consensusTime,searchTime,onChainTime,seqId,roundId,comId
10.734044864s,1.495707674s,7m48.790011818s,170,0,0
10.011201429s,1.279054917s,29.280444193s,605,0,0
9.027415623s,1.466683455s,6m21.407749527s,252,0,0
8.61212423s,1.086873314s,6m31.42897415s,247,0,0
9.124331604s,1.268378805s,5m32.145053419s,309,0,0
8.842449845s,1.187615006s,4m1.774543191s,392,0,0
9.433942791s,1.068008369s,3m31.499764149s,428,0,0
9.868857289s,1.097235984s,2m20.162669686s,492,0,0
8.600735925s,1.032818608s,4m51.99654563s,350,0,0
9.076853221s,1.124048858s,4m11.533820021s,387,0,0
8.998916581s,1.057026283s,9m50.621448809s,48,0,0
9.31832247s,1.264365646s,6m21.119317392s,255,0,0
9.581576262s,1.412480047s,7m39.210962841s,179,0,0
9.728057253s,1.032509694s,9m19.37643837s,78,0,0
9.206726118s,1.40014453s,9m50.414366445s,42,0,0
9.569859854s,1.456618518s,1m30.446476835s,545,0,0
9.065820196s,1.136266387s,9m0.008110154s,93,0,0
8.559561547s,1.330019802s,1m1.063402853s,572,0,0
9.020703407s,1.269347967s,10m0.836867515s,37,0,0
9.711432523s,1.101453954s,6m1.244637833s,276,0,0
9.219802294s,1.425132869s,5m2.063759563s,340,0,0
9.592942591s,1.100227133s,5m12.256634701s,327,0,0
8.826658726s,1.171968252s,5m2.456401619s,338,0,0
9.247267169s,1.184356464s,5m51.535324354s,283,0,0
9.628040728s,1.439997837s,5m1.655548868s,335,0,0
9.332802212s,1.092359845s,10m0.524897468s,39,0,0
8.318463506s,1.385050211s,3m2.608984115s,458,0,0
8.988498369s,1.482248412s,1m51.477135505s,525,0,0
9.641055384s,1.062103131s,8m0.156528712s,152,0,0
7.94527396s,1.241895945s,6m12.828572401s,261,0,0
8.429209539s,1.064395706s,8m31.270491405s,121,0,0
9.726594542s,1.144009316s,8m0.071021082s,154,0,0
8.421843013s,1.177700111s,3m12.733954784s,447,0,0
9.188952688s,1.474024114s,9m30.368603111s,62,0,0
9.897181846s,1.185586303s,7m29.295233098s,184,0,0
8.309262875s,1.4029477s,6m12.464691224s,264,0,0
8.380271539s,1.128074255s,7m1.521648413s,215,0,0
9.936469435s,1.063124358s,8m9.870117178s,149,0,0
9.802802124s,1.260655524s,3m50.81701225s,406,0,0
9.49213096s,1.467007797s,1m50.973189542s,521,0,0
9.745926761s,1.232640785s,1m20.70141267s,555,0,0
8.299070559s,1.13264336s,6m51.630322733s,229,0,0
8.392778845s,1.444638329s,6m51.536041318s,225,0,0
9.301334084s,1.342606078s,2m51.843747934s,466,0,0
9.253822039s,1.25886324s,5m32.016787245s,308,0,0
8.57995455s,1.055029817s,10m11.618007412s,28,0,0
9.910086521s,1.038139268s,1m40.01735187s,537,0,0
8.888407857s,1.077375758s,10m31.172758886s,1,0,0
9.772403945s,1.150439996s,8m39.993959622s,116,0,0
9.397663836s,1.382039405s,10m10.800685922s,23,0,0
8.959020285s,1.347030079s,7m39.834618037s,175,0,0
9.477211158s,1.078824562s,10m0.381332046s,40,0,0
9.83995908s,1.275835232s,6m50.08954867s,222,0,0
10.062840383s,1.100916472s,19.221273614s,614,0,0
10.270336688s,1.344489122s,9m9.074569337s,89,0,0
9.366253686s,1.227355784s,9m40.450401933s,57,0,0
9.493590969s,1.26602769s,4m41.536453242s,351,0,0
8.727697532s,1.089208635s,3m32.208321132s,422,0,0
8.994678554s,1.449608663s,2m11.0043538s,506,0,0
9.189110412s,1.440999873s,2m0.952717246s,517,0,0
9.29340062s,1.201007783s,2m51.851737098s,468,0,0
8.979861815s,1.433089145s,3m12.176763662s,443,0,0
8.716946469s,1.097040221s,4m32.57089249s,368,0,0
8.138434387s,1.135418974s,9m11.207922095s,86,0,0
9.601685203s,1.281080764s,6m50.329392848s,226,0,0
9.188381114s,1.304245236s,7m10.611880552s,206,0,0
9.122818776s,1.134910935s,3m31.812956392s,424,0,0
9.111733211s,1.412283617s,7m10.688763722s,203,0,0
8.985132556s,1.197021188s,4m11.627015953s,381,0,0
8.73596226s,1.427502401s,5m52.047507827s,282,0,0
9.758643701s,1.164599635s,9m19.346362851s,76,0,0
10.825667891s,1.451395924s,1m9.624961422s,569,0,0
8.517669709s,1.227932841s,4m52.080001906s,345,0,0
8.75711623s,1.240721594s,5m42.583133876s,299,0,0
8.746704712s,1.168094095s,10m11.45306572s,21,0,0
8.636925335s,1.306799253s,9m0.439298454s,91,0,0
9.413137111s,1.14875371s,6m50.517588103s,224,0,0
10.453270336s,1.306862891s,9m29.105421203s,63,0,0
8.018522851s,1.446583585s,5m52.765926504s,287,0,0
8.966446987s,1.193938918s,20.328272777s,613,0,0
8.2880418s,1.1260188s,1m41.641565483s,536,0,0
9.181213435s,1.448735735s,40.758572484s,591,0,0
