time,handled_num,q_len,comId
1,0,250,0
6,0,500,0
11,0,750,0
16,0,1000,0
21,0,1250,0
26,0,1500,0
31,0,1750,0
36,0,2000,0
41,0,2250,0
46,0,2500,0
51,0,2750,0
56,0,3000,0
61,0,3250,0
66,0,3500,0
71,0,3750,0
76,0,4000,0
81,0,4250,0
86,0,4500,0
91,0,4750,0
96,0,5000,0
101,0,5250,0
106,0,5500,0
111,0,5750,0
116,0,6000,0
121,0,6250,0
126,0,6500,0
131,0,6750,0
136,0,7000,0
141,0,7250,0
146,0,7500,0
151,0,7750,0
156,0,8000,0
161,0,8250,0
166,0,8500,0
171,0,8750,0
176,0,9000,0
181,0,9250,0
186,0,9500,0
191,0,9750,0
196,0,10000,0
201,0,10250,0
206,0,10500,0
211,0,10750,0
216,0,11000,0
221,0,11250,0
226,0,11500,0
231,0,11750,0
236,0,12000,0
241,0,12250,0
246,0,12500,0
251,0,12750,0
256,0,13000,0
261,0,13250,0
266,0,13500,0
271,0,13750,0
276,0,14000,0
281,0,14250,0
286,0,14500,0
291,0,14750,0
296,0,15000,0
301,0,15250,0
306,0,15500,0
311,0,15750,0
316,0,16000,0
321,0,16250,0
326,0,16500,0
331,0,16750,0
336,0,17000,0
341,0,17250,0
346,0,17500,0
351,0,17750,0
356,0,18000,0
361,0,18250,0
366,0,18500,0
371,0,18750,0
376,0,19000,0
381,0,19250,0
386,0,19500,0
391,0,19750,0
396,0,20000,0
401,0,20000,0
406,0,20000,0
411,0,20000,0
416,0,20000,0
421,0,20000,0
426,0,20000,0
431,0,20000,0
436,0,20000,0
441,0,20000,0
446,0,20000,0
451,0,20000,0
456,0,20000,0
461,0,20000,0
466,0,20000,0
471,0,20000,0
476,0,20000,0
481,0,20000,0
486,0,20000,0
491,0,20000,0
496,0,20000,0
501,0,20000,0
506,0,20000,0
511,0,20000,0
516,0,20000,0
521,0,20000,0
526,0,20000,0
531,0,20000,0
536,0,20000,0
541,0,20000,0
546,0,20000,0
551,0,20000,0
556,0,20000,0
561,0,20000,0
566,1,19999,0
571,2,19998,0
576,3,19997,0
581,5,19995,0
586,5,19995,0
591,6,19994,0
596,6,19994,0
601,6,19994,0
606,6,19994,0
611,6,19994,0
616,6,19994,0
621,6,19994,0
626,6,19994,0
631,6,19994,0
636,6,19994,0
641,6,19994,0
646,6,19994,0
651,9,19991,0
656,9,19991,0
661,9,19991,0
666,9,19991,0
671,9,19991,0
676,10,19990,0
681,10,19990,0
686,10,19990,0
691,10,19990,0
696,10,19990,0
701,10,19990,0
706,10,19990,0
711,10,19990,0
716,10,19990,0
721,10,19990,0
726,10,19990,0
731,10,19990,0
736,10,19990,0
741,10,19990,0
746,10,19990,0
751,10,19990,0
756,10,19990,0
761,10,19990,0
766,10,19990,0
771,10,19990,0
776,10,19990,0
781,10,19990,0
786,10,19990,0
791,10,19990,0
796,10,19990,0
801,10,19990,0
806,10,19990,0
811,10,19990,0
816,10,19990,0
821,10,19990,0
826,10,19990,0
831,10,19990,0
836,10,19990,0
841,10,19990,0
846,10,19990,0
851,10,19990,0
856,10,19990,0
861,10,19990,0
866,10,19990,0
871,10,19990,0
876,10,19990,0
881,10,19990,0
886,10,19990,0
891,10,19990,0
896,10,19990,0
901,10,19990,0
906,10,19990,0
911,10,19990,0
916,10,19990,0
921,10,19990,0
926,10,19990,0
931,10,19990,0
936,10,19990,0
941,10,19990,0
946,10,19990,0
951,10,19990,0
956,10,19990,0
961,10,19990,0
966,10,19990,0
971,10,19990,0
976,10,19990,0
981,10,19990,0
986,10,19990,0
991,10,19990,0
996,10,19990,0
1001,10,19990,0
1006,10,19990,0
1011,10,19990,0
1016,10,19990,0
1021,10,19990,0
1026,10,19990,0
1031,10,19990,0
1036,10,19990,0
1041,10,19990,0
1046,10,19990,0
1051,10,19990,0
1056,10,19990,0
1061,10,19990,0
1066,10,19990,0
1071,10,19990,0
1076,10,19990,0
1081,10,19990,0
1086,10,19990,0
1091,10,19990,0
1096,10,19990,0
1101,10,19990,0
1106,10,19990,0
1111,10,19990,0
1116,10,19990,0
1121,10,19990,0
1126,10,19990,0
1131,10,19990,0
1136,10,19990,0
1141,10,19990,0
1146,10,19990,0
1151,10,19990,0
1156,10,19990,0
1161,10,19990,0
1166,10,19990,0
1171,10,19990,0
1176,10,19990,0
1181,10,19990,0
1186,11,19989,0
1191,11,19989,0
1196,11,19989,0
1201,13,19987,0
