consensusTime,searchTime,onChainTime,seqId,roundId,comId
6.169254358s,1.409815831s,9m0.606382207s,57,0,0
6.623274068s,1.049524963s,7m9.609198953s,211,0,0
6.145353319s,1.164053192s,8m12.604944627s,128,0,0
6.941411298s,1.482258028s,14.391061589s,815,0,0
6.769915549s,1.390098378s,7m23.118643015s,196,0,0
6.902316052s,1.434087353s,7m9.330094971s,219,0,0
6.020353168s,1.315467055s,1m31.582733195s,707,0,0
6.769275362s,1.328060373s,9m20.904263705s,23,0,0
6.004030119s,1.022979575s,29.282207876s,797,0,0
6.421901896s,1.312663142s,8m39.495699144s,88,0,0
7.005924985s,1.391943599s,21.332408302s,803,0,0
6.739669793s,1.309216691s,1m10.353180455s,740,0,0
6.664790311s,1.325035864s,35.435899332s,789,0,0
6.454669482s,1.455854726s,2m33.176908745s,620,0,0
6.071351469s,1.313868656s,8m12.679264451s,122,0,0
6.569089942s,1.229697015s,42.681985911s,777,0,0
6.036850545s,1.327963303s,15.295523817s,813,0,0
6.944431712s,1.312366271s,7m51.225393945s,156,0,0
6.647161656s,1.199378369s,3m7.19426551s,567,0,0
6.378558861s,1.025236535s,6m41.889837182s,254,0,0
6.316371458s,1.355066907s,907.067948ms,832,0,0
5.711368429s,1.026993635s,1.512105222s,840,0,0
6.214236413s,1.183366995s,1.009263443s,835,0,0
5.986029656s,1.105845s,36.119841866s,786,0,0
6.115610032s,1.221103669s,29.175829025s,800,0,0
5.940984114s,1.192608508s,8.455161572s,826,0,0
6.194013429s,1.16339555s,35.911933707s,785,0,0
7.042858245s,1.195510072s,4m16.451440518s,464,0,0
6.832620032s,1.255240398s,2m18.985665213s,638,0,0
6.555805359s,1.377953527s,14.790445824s,818,0,0
7.170951877s,1.450389412s,7.245416909s,823,0,0
6.13758849s,1.187707534s,1.108222336s,831,0,0
6.297887442s,1.24325876s,3m42.331265196s,512,0,0
5.895397973s,1.008842628s,1m4.013964559s,743,0,0
5.82983898s,1.250268248s,4m45.630711081s,427,0,0
